,type_of_advice_or_caution,category,text,screenname
182,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @cnnbrk: Rangers Ballpark in Arlington, TX, evacuated mid-game amid #tornado warning http://on.cnn.com/k1ZN2b",101Valkyrie101
183,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,TORNADO WARNING: Kalamazoo (Michigan)  Expires: 05/29/2011 03:45PM (CDT) http://bit.ly/mU0aeM #tornado #miwx,twister_tracker
184,Other,Caution and advice,Chance of a tornado: 52% -_____-,supremesbs
185,A tornado sighting/touchdown has been reported,Caution and advice,Possible tornado on the ground 1 mile north of Vicksburg...no visual.  NWS radar returns showing visual.,nick_ponton
186,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado watch for Monroe county michigan until 8 pm tonight.,Twister_R_T
187,A tornado sighting/touchdown has been reported,Caution and advice,"#United States #Pennsylvania #WeatherlyWeather service confirms tornado touched down in Embden, Maine - Bangor Daily News",floodtechs
188,A tornado sighting/touchdown has been reported,Caution and advice, @weatherchannel: 3 OK tornadoes have been upgraded to EF4:  1) El Reno/Piedmont....2) Chickasha to Newcastle/Moore....3) Washington/G ...,josmonster
189,A tornado sighting/touchdown has been reported,Caution and advice,"#Tornado watch=a tornado is possible in the area. Tornado warning=one has been sighted or indicated, take shelter. @fema #kswx #ksstorms",KansasCityKDOT
190,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,TORNADO WARNING: Beaver (Oklahoma)  Expires: 06/11/2011 08:30PM (CDT) http://bit.ly/m0R1db #tornado #okwx #okstorms,twister_tracker
191,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @livewxradar: *** TORNADO WATCH *** until 2AM CDT for IA MN SD ND for LARGE TORNADOES 2.5"" HAIL and 80MPH winds",
192,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado watch Sunday afternoon and evening http://exm.nr/makBhi,ExamineNewz
193,Other,Caution and advice,Special Weather Statement issued June 05 at 2:45PM CDT expiring June 05 at 3:45PM CDT by NWS Shreveport ht... http://bit.ly/lQesrZ #OKwx,wx5em
194,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @severestudios: NOW IN EFFECT:  Tornado Watch for portions of the area in IN, OH, MI until 8:00pm EDT / 7:00pm CDT. http://1.usa.gov/ ...",LoveJeter02
195,Other,Caution and advice,ok we are under an official tornado watch until later this morning please keep us in your thoughts and prayers just came over scanner,Toni_Pisca
196,Other,Caution and advice,"SCARY! @twilightus @AngWxGrl Terrifying!!!  @AngWxGrl #Joplin, MO: Before & After: http://tinyurl.com/4x8rsmt #tornado",redsoftball
197,A tornado sighting/touchdown has been reported,Caution and advice,What? There was a tornado in Northern Ireland today? What? #endofdays,PaulaFleetwood2
198,Other,Caution and advice,How to Design a Tornado Safe Room http://ow.ly/56VpL #HomeDesign #Architecture,CarterDesignInc
199,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warning for southern Sedgwick County and southwest Butler County until 8:30 p.m. Storm capable of tornado near Goddard. #ksstorms,StanFinger
200,A tornado sighting/touchdown has been reported,Caution and advice,"Tornado in Springfield, MA. This is crazy. I hope friends in Boston are safe! http://huff.to/mFBizj",christinayxy
201,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,US day 1 #severe #weather outlook updated #WIND: 30% #HAIL: 30% #TORNADO: 5%  http://goo.gl/IzrNI http://wickedwx.com/2011/06/08/ #wx 55925,wickedwxbot
202,A tornado sighting/touchdown has been reported,Caution and advice, @MyTexasWeather:  @SgtAndyNorris  @TWCBreaking: Tornado with debris reported in southeast Dallas per NWS Chat. Large wedge near I ...,chris_1326
203,A tornado sighting/touchdown has been reported,Caution and advice, @aegirl_2012: Tornado in Bloomington... http://bit.ly/lXWKcW,SoleOfBloom
204,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Warning for Beaver County in OK until 8:30pm CDT,MagnoliaRelief
205,A tornado sighting/touchdown has been reported,Caution and advice," @BreakingNews: Spotters confirm a tornado on the ground moving toward Joplin, Mo., where a twister on Sunday killed 124 people - CNN",DannyKeim
206,A tornado sighting/touchdown has been reported,Caution and advice, @TWCBreaking: Tornado reported on the observation at Dallas' Love Field. #txwx,garytx
207,Other,Caution and advice," @KAKEnews: If you are in the city of Wichita, you should be in your tornado shelters. #ksstorms",TonyDuzlt
208,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Pawnee county in Ok too!  @severestudios: Tornado Warning for Pawnee County in KS until 7:15pm CDT. #kswx,mom2two2330
209,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Tractors?  @ScottLauber Tornado warning in Detroit. Combo of 10 tractors, golf course, lawn equipment on tarp. Not a good sign. #RedSox",shelley1005
210,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @TBBrannon: High Risk of Severe Weather today for Northeast and Northcentral Arkansas. A Tornado Watch for Northern 2 rows of countie ...,onepamperedgirl
211,A tornado sighting/touchdown has been reported,Caution and advice, @tjholmes: Weather spotters confirm a tornado is on the ground moving toward Joplin.,LeapOfFaith_13
212,A tornado sighting/touchdown has been reported,Caution and advice," @GMA: 18 tornado reports yesterday including 7 in Massachusetts, 4 in California and the rest in Nebraska and Kansas (via NWS)",ianCcain
213,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @Kentuckyweather: Tornado Watch for northern Ky until 9pm EDT,ChrisTHEBLUEONE
214,A siren has been heard,Caution and advice,Tornado sirens going off in Marion County (Indianapolis) as severe thunderstorm warning gets issued during a tornado watch.,SWATChasers
215,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Waiting out the Tornado warning at OPCC.  Glad everyone is safe! http://fb.me/RF5uGhGg,OverlandParkCC
216,A tornado sighting/touchdown has been reported,Caution and advice," @TWCBreaking: #Tornado EMERGENCY coming from NWS for NW side of Norman, Moore, and south side of OKC.  TAKE SHELTER NOW.",TVReviewProgram
217,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @Newsweek: A tornado warning in #NYC. A funnel in #Springfield, MA. Is this the new normal?! Our cover story this week: http://bit.ly ...",plantgirl1958
218,A tornado sighting/touchdown has been reported,Caution and advice,A tornado is coming near Memphis...probably won't hit.,BMD_Nerd
219,A tornado sighting/touchdown has been reported,Caution and advice,"@BBCBreaking Tornado near Tuckerman, Ar. reported to be 1/2 mile wide - @KATVNews",Lawyerscom
220,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"FWD: severestudios: Tornado Warning for Maries, Phelps, and Pulaski County in MO until 2:15pm CDT. #mowx",MarieHuettner
221,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,New tornado warning in Joplin again. :(,CheraKimiko
222,A tornado sighting/touchdown has been reported,Caution and advice,"#moore no #Tornado on ground, it is thinning out, debris falling from sky as slows down",victoria_29
223,A tornado sighting/touchdown has been reported,Caution and advice," @JimCantore: TWO HOOKS ONE NEAR DALLAS AND ONE NEAR ONE WEST OF ARLINGTON, TX #TXWX #TORNADO",WhoDat35
224,Other,Caution and advice,"tornado watch, central minnesota",Flyinbry
225,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @KTIVweather: Tornado Warning for Holt County in NE until 5:45pm. http://bit.ly/i5ZgcK,GinaM121
226,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @BreakingNews: Fans at Rangers game in Arlington, Texas, are sheltering in place after tornado warning - @CardsFaninBigD http://bit.l ...",anandmborse
227,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @iembot_iwx: #IWX expires Tornado Warning for  Fulton, Williams [OH] till 5:30 PM EDT http://bit.ly/iVAbGg",weathercp
228,A tornado sighting/touchdown has been reported,Caution and advice, @txstormchasers: Destructive hail and possible #tornado moving into Dallas County. This is a violent storm! #txwx,DarkSpy87
229,A siren has been heard,Caution and advice,Tornado sirens just went off at 17th and Broadway.,vasquez007
230,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,@noahovernight last fri we went 5:50 to 7 w straight weather bc of a tornado warn in 2 cnties. Lots of people got p'od. But all takes is 1.,Matt_Maisel
231,A tornado sighting/touchdown has been reported,Caution and advice,Greenville Mo nickel hail and debris falling from the sky.  tornado 10 miles SW of the city moving towards greenville. #nwspah #mowx,IrishWxman
232,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,2nd day in a row that part of Aroostook Co. ME is under a tornado warning. Rare in that neck of the woods. http://ow.ly/5eiRv #mewx,tornadoquest
233,A tornado sighting/touchdown has been reported,Caution and advice,"@TheDalyPlanet It's a scary afternoon/evening in these parts, tornado just up the street and nasty storm after nasty storm rolling through.",ShawnCourchesne
234,A siren has been heard,Caution and advice,Tornado alarm going off,Top_of_da_class
235,Other,Caution and advice,"Everyone please pray for Joplin, Missouri again because they are under watch for another tornado.",NSEZ160
236,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,mad as shit a tornado is going to come pass and it knock out the cellular tower,_FYIimRelle
237,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Eek.  Tornado warnings!,realmylittleme
238,Other,Caution and advice,We have front row tickets to the tornado that's gonna run us over..,maskedchick
239,Other,Caution and advice,Tornado is moving away... Thank goodness... That was too close,TCU_HurdleQueen
240,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Warning!,Gr8_Xcape
241,Other,Caution and advice,Talked to a friend from WMass. She was literally running from tornado trying to find safe place to hide. Ended up in strangers basement.,GronkDreams87
242,Other,Caution and advice,Emergency broadcast now on TV for our area. We are under #tornado watch. Severe thunder storm imminent. #NYwx,SoutholdSMEM
243,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warning. Sky just went black. At least I got my @NKOTBSB show in before the #Rapture,ultimateVIPMel
244,A siren has been heard,Caution and advice,"Look, my TV friends: when tornado sirens go off, we want residents to take cover. So get off the damn TV, take your crew & take cover",rolandsmartin
245,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Funnel cloud spotted about 10 miles south of Danville, moving east.  Tornado Warning for Caswell Co, NC as a result...",SeanSublette13
246,A tornado sighting/touchdown has been reported,Caution and advice, @SnowyWestie: #PAWCIRCLE for @BearBearD in Memphis. Needs #barkbusters #BarkTreeAlert. Tornado on ground. @NoCrybabyDoGs @IamZorro Ba ...,danapixie
247,Other,Caution and advice,"Tornado watch over here till 10 pm. Oh well, it's not gonna hit us anyways.",thinminmeg
248,A siren has been heard,Caution and advice,"Um tornado warning with the sirens while being shuffeled  into a ""safe"" section of the grocery store.",IzzyBelle24
249,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @RedCross: #Tornado watches and warnings in the northeast right now and through evening- pay attention to news and local authorities, ...",fabiojjsantos
250,Other,Caution and advice,"Volcano eruption, Tornado, Flood, Cattle Plague... is the end of the world coming soon?",monstarrynite
251,Other,Caution and advice,tornado watch #ineffect,jewyorkrags
252,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,#txwx Storm still firing north of Houston tonight that are extending from the line across the us.,super64
253,A tornado sighting/touchdown has been reported,Caution and advice," @TWCBreaking: Confirmed #tornado on ground 3 miles SW of Chickasha, OK, per fire dept.  TAKE COVER NOW!!!!  Radar:  http://wxch.nl/iGpssz",ninatypewriter
254,A tornado sighting/touchdown has been reported,Caution and advice," @shawncable: Tornado reported on the gound near Ramona, SD... heading northeast. #sdwx",TwinsChica
255,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @severestudios: There is a small Tornado Watch in effect that includes Columbia and St. Louis, MO:  http://1.usa.gov/kxdEDC  #mowx",PwrWheelerChris
256,A siren has been heard,Caution and advice,Tornado sirens,underdog69911
257,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @RoyalOakPatch Tornado WARNING now in effect. Take cover Royal Oak!,SdotThomas
258,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @KOMUnews: Tornado Watch for Chariton, Howard, Macon and Randolph County until 3:00am CDT.",xsiner
259,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @WxChrisB: People in SW Hunt and NE Kaufman need to take tornado precautions at this time. #txwx,Lehigh389
260,A tornado sighting/touchdown has been reported,Caution and advice,Tornado headed for downtown Kansas City,Lawsonbulk
261,A tornado sighting/touchdown has been reported,Caution and advice,"Tornado just touchdown at castleton square mall, and jump over tantrum",P_a_bl_o
262,Other,Caution and advice, @VeganCapitalist: Tornado watch issued for NYC and surrounding counties. Get your animal companions inside!,sarahdemunck
263,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @cupofteaintexas: TORNADO WARNING EXTENTED! Hutchins and Balch Springs take cover!,neighhay
264,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"There's also a tornado watch in my (Sydney) state, Massachusetts. In just minutes it's supposingly going to hit my area. Pray PLEASE.",biebsmethayley
265,A siren has been heard,Caution and advice,Tornado sirens going off again in Owensboro.,TadLong
266,Other,Caution and advice,The tornado's gonna come and get me! http://t.co/wZ61PaJ,XinLynGoh
267,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,@reedtimmerTVN tornado warning just issued for lower Michigan.,CathyRowell
268,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"TORNADO WARNING has been canceled for VIGO but continues for Fountain, Parke and Vermillion until 7:15pm EDT!",DJEricMichaels
269,A tornado sighting/touchdown has been reported,Caution and advice,What the deuce? Tornado in Yuba City and it's fuckin June wow... We got some Midwest weather now,IamClevR
270,Other,Caution and advice,"Up to 104 so far in Lubbock today, 106 at Turkey and Paducah, 107 so far at Northfield. #txwx",matternst34
271,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"A Tornado Warning has been issued for for Pemiscot-MO, Dyer-TN, Lake-TN & Obion-TN until 07:30 PM  #weather",wxcast
272,Other,Caution and advice,"from the looks of it, there's a tornado outside my window BUT my bestie insists we go to the gym anyway -_-.. i just want ice cream",ThatsMsGerard2U
273,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"TORNADO WARNING [ Barry, MI ][ Calhoun, MI ] Expires: Sun May 29 17:00 EDT #SVRAlert",MiWxSystem
274,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,tornado watch for Binghamton and surrounding areas. be safe...definitely OUT of here lmao,MsSuriel
275,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Leominster MA tornado warnings and lightning #TwitPict http://twitpic.com/55nttb,mmarotta
276,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @MarleeMatlin: Tornado Watch for New York City If you know anyone deaf or hard of hearing or physically disabled, reach out/make sure ...",leggygurl
277,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,There is no tornado it's a watch not a warning so all you can come out of ur basement,bradenrobbins
278,A tornado sighting/touchdown has been reported,Caution and advice,"Seems like that last blob on the radar passed us up, waiting another 5 minutes for the next one. Ellsinore, MO sees Tornado #weather",AC_Dode
279,Other,Caution and advice,@Cedric_Supreme hey man i'm seeing this tornado and bad weather on the news for Oklahoma...just wondering if ur ok?,eluvaman
280,A tornado sighting/touchdown has been reported,Caution and advice," @reedtimmerTVN: Possible tornado near Holiday City, OH",chilisweet
281,A tornado sighting/touchdown has been reported,Caution and advice,Tha NWS has confirmed a tornado touched down in Shiawassee County. I'm headed there now...look for a live report @ABC12WJ at Noon.,AutumnPerry
282,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,@Samantha_Busch WI may be under tornado warnings but we are still going to watch@KyleBusch win the prelude!,noopy86
283,A tornado sighting/touchdown has been reported,Caution and advice,BREAKING NEWS: TORNADO REPOED IN THE STORM HEADING MY WAY,Marc978
284,A tornado sighting/touchdown has been reported,Caution and advice, @palmerlaw: Report: *** Tornado Warning *** SIRENS in #chambana - Tornado on ground I72 near Route 47 exit going E-NE #chambana #CUstorms,gkrue
285,A siren has been heard,Caution and advice, @eman2936: How come everyone talking bout hail and aint no rain here just tornado sirens going off?,KeymonDiArtiste
286,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,If they dont stop sayin more tornado warnings huh .....,stina_bug
287,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Tornado warning in belton, Everybody Go To Yal Basements & get shoes & blankets",AD_JussAD
288,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Warning - I hate these things ! #scary,x_PurpleRAIN_x
289,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @Bittersw33tstar: were under a tornado watch... WOW,teelagee
290,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warnings always cool. Its super windy & rainy outside. The thunder is shakin my house... #scared,IfYouSeekNiall
291,A tornado sighting/touchdown has been reported,Caution and advice,tornado heading our way. i just want to say I love you all.,xkileyxsoulierx
292,A siren has been heard,Caution and advice,Tornado warning sirens goin off in NKC,DwillBeats
293,A siren has been heard,Caution and advice,Tornado sirens going off again in Dallas,LuxBusinessMgmt
294,A siren has been heard,Caution and advice,Omg. Its the scary tornado alarm sirens.,Relvyn
295,Other,Caution and advice,Weather in Boston and NYC on Alert After Tornado http://bit.ly/mH3krp  tornado,Rubyeai86
296,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @boomeronkissfm: Tornado Warning in Effect for Fulton County NOW.  TORNADO WATCH in effect for the entire kiss fm listening area unti ...,jorddddd_
297,A tornado sighting/touchdown has been reported,Caution and advice,Holy canoli - Joplin Missouri has a tornado headed towards it @ 45mph - Oh no :(,PattiTib
298,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado watch for NYC-New England.  Looks like God has had enough of Sarah Palin's bus tour.,joemcginniss
299,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @spann: Tornado warning in effect for Joplin, MO",track7grrl
300,A tornado sighting/touchdown has been reported,Caution and advice," @garytx:  @spotternetwork: 12:13AM CDT Tor&lt;-Evnt 0 miles WNW of Ozark, AR-Tornado reported on the ground near Ozark by storm spo ...",LRattlingGourd
301,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @stefanieneves: So it was 42 degrees today and now there's a tornado warning up north/prob in the gta soon? #fiomothernature,corbinedmonds
302,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,I guess I better go find a stream... tornado warning for Monroe county...,DCisMyIcing
303,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Strong storms coming in this afternoon, too. Tornado watch till 8 issued here in Maine, which is very unusual.",yingko2
304,Other,Caution and advice,"#ATFU  @ORGNL: Tornado Alley aint fucking around, weatherally and musically",ATFU_
305,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @weatherchannel: Wish we didn't have to write this....another multi-day #tornado outbreak is looming.  The ingredients and forecast:  ...,ttown67
306,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @KTVB: SEVERE WEATHER ALE: Tornado watches in effect for three Idaho counties:  http://bit.ly/1v5xG,Tina_Caviness
307,A tornado sighting/touchdown has been reported,Caution and advice,@I_am_Serenity tornado on the ground. Western side of KC,DillyMacDuff
308,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"anyone in the Livingston County, please be careful we are under a Tornado Warning!  Sirens are going on around Briarwood Mall! #BadWeather",Spacie_Stacie
309,Other,Caution and advice,"Tornado count as of May 29, 2010: 437. Tornado count as of May 29, 2011: 960. Difference: 523.",Goose_Lover
310,A tornado sighting/touchdown has been reported,Caution and advice, @DFWscanner: Tornado is now reported near the Park Cities/Preston Hollow area.,Dale_Butler
311,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warning has been re-issued for Washington County.,TheFoxNewsEdge
312,Other,Caution and advice,Uh oh the tornado is lurkin,TaJuanDeShaun
313,Other,Caution and advice,Hope all the #JoplinTornado are safe and sound(: and Sorry for any loses &lt;3,JusttAustin
314,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,I pull my head out of writing in seclusion to discover NYC is now under a tornado watch. Can't I leave you people alone for a minute?,tvjrennie
315,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @the33news: Tornado warning issued for following counties: Collin, Cooke, Dallas, Denton, Grayson, Parker, Tarrant, Wise",Lupi_Lu85
316,A tornado sighting/touchdown has been reported,Caution and advice," @shanamama9197: #Tornado touchdown in Irving, TX",Jenevalynne
317,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Severe Thunderstorm Watch for portions of the area in OK until 1:00am CDT. #okwx,severewarn
318,Other,Caution and advice,Basically a tornado outside. What is happening. So scared.,Kayla_Muldoon
319,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @News10_CA: NWS has issued a tornado warning for Sacramento and Yolo counties.  Possible tornado to hit near Power Balance Pavillion.,cfaArdenFair
320,Other,Caution and advice," @Sportsgeek4life:  @JimCantore: OKMULGEE, BEGGS, OK AREA still strong rotation coming your way. #okwx",oktwister
321,Other,Caution and advice,A rotating wall cloud is 4 mi NW of Azle moving E at 40. No tornado has been observed at this time. -sm,wfaaweathertoo
322,A tornado sighting/touchdown has been reported,Caution and advice,Tornado touched down up the street. A lil scared stupid.,CKillinger
323,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @txflygirl: Are you kidding me?   @TWCBreaking: Tornado warning for #Joplin, Mo.!! Radar and warning info: http://wxch.nl/mGgs3M / OMG!",andresotondo
324,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,@KeatonMiles are you all in tornado warnings also?,qwymer
325,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Good luck with that tornado warning @ndirish11,tbarrios47
326,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warnings for Washtenaw/Livingston Counties MI until 6:15pm. NWS is giving people plenty of warning on these storms. Pay attention!,StormWatcher1
327,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,@Christy5Q my Rhode Island peeps are freaking out because they're under a tornado watch.  Half of them think it's a warning.  Rookies,nikkim602
328,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @OntarioWarnings: Red Alert for City of Hamilton due to tornado warning ended.,midnightpucks81
329,A siren has been heard,Caution and advice,Well tornado sirens are going off.,Ashli_Jonas
330,Other,Caution and advice,"And apparently there's now a tornado watch for my county, eep.",ceitfianna
331,A siren has been heard,Caution and advice,Thinking about you #Dallas area  @birdy27: sirens just went off in the #dallas area!! authorities askg folks 2 take cover. #tornado...,Linnyluvzya
332,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warning! Fuck yeah!!,Quidg3
333,A tornado sighting/touchdown has been reported,Caution and advice, @rolandsmartin:  @TWCBreaking Brief tornado reported (15) mins. ago near Lake Nocona in N. TX. No damage reported.,KrysBrown89
334,A tornado sighting/touchdown has been reported,Caution and advice, @TWCBreaking: Tornado with debris reported in southeast Dallas per NWS Chat. Large wedge near I-45 south of I-20.,BuckeyeCampbell
335,A tornado sighting/touchdown has been reported,Caution and advice, @TWCBreaking: Tornado reported on the observation at Dallas' Love Field.,xRedRoverx
336,Other,Caution and advice," @fema: #Tornado #safetytip: Stay away from downed power lines, and report them to the power company. http://m.fema.gov #Joplin",CindyFrancine
337,Other,Caution and advice," @severestudios:  @FindTheTornado: http://1.usa.gov/loKp2S PDS Tornado Watch is NOW out... please be safe  [MO, IL, IN, KY]",fordtrain
338,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @WUSTL: Tornado warnings issued for counties in STL area. Please observe emergency notifications & seek shelter. http://emergency.wus ...,HavenHouseSTL
339,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @severewarn: Tornado Warning for Ballard, Carlisle, Fulton, Graves, Hickman and McCracken County in KY until 7:30pm CDT. #kywx",SPGSvrWx
340,A tornado sighting/touchdown has been reported,Caution and advice,"Gah, that's where @exitrows is   @CNN: Just In: Tornado spotted in Bedford, Texas, between Fort Worth and Dallas, according to the NWS",cybermelli
341,Other,Caution and advice,Damn. Another tornado watch jus popped up,MelvinParker89
342,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warning o.O what tha fawk? Akward area -_- this world is deadening: http://yearbook.com/a/1c0zho,savagebeastelie
343,A tornado sighting/touchdown has been reported,Caution and advice,"@jpsgolfmom I haven't followed it since I read it, but there was a tornado 6 miles SW of KZoo headed NE at 55 MPH a little earlier.",grogg
344,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,#RAPTURE just sayin'  @CNYcentral Tornado watch in effect for most of #CNY through 10:00 PM http://www.cnycentral.com/weather,84alcoholic
345,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @severestudios: Tornado Warning for Kalamazoo County in MI until 4:45pm EDT. #miwx,recklessintent8
346,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,WARNING: Tornado warning issued for Yolo County  http://sns.mx/IEcJy6,SacramentoDaily
347,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,We were under a tornado warning this week - check out these creepy clouds  http://t.co/r0eYcc8,Gant88
348,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Becareful dude!  @mud_Ball Potential Tornado warning for the night... Had one land last night near my house.... I slept thru it tho &gt;_&gt;,NativePrideBear
349,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @flintjournal: Weather update: Southern tier of Michigan under tornado watch http://bit.ly/iTtDhE,MrDantzler
350,Other,Caution and advice,Tornado kills 2 in suburban Oklahoma City: Two people were killed and three children were critically injured Tuesday... http://dlvr.it/StD8K,OcalaBuzz
351,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @TWCBreaking: #Tornado EMERGENCY coming from NWS for NW side of Norman, Moore, and south side of OKC.  TAKE SHELTER NOW.",NorthBournefood
352,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,more storms... Tornado watch until 10 pm.,GSAstari
353,A siren has been heard,Caution and advice,Tornado sirens.....smh,Chubb15
354,A tornado sighting/touchdown has been reported,Caution and advice, @stormchaser4850:ARKANSAS (DEV)Emergency management reported a tornado on the ground near Austin moving NE at 50 mph (723 pm CDT) #arwx,drfranvogler
355,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @severestudios: Tornado Warning for Hardy County in WV until 6:30pm EDT. #wvwx,happy2bgrandma
356,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Warning issued May 25 at 12:05PM CDT expiring May 25 at 12:30PM CDT by NWS Kansas City http://www.crh.no... http://bit.ly/kmKEpr,CSwxCenter
357,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"dallas, kaufman, and rockwall counties now face tornado warning until 9:45",KelseyEagar
358,A tornado sighting/touchdown has been reported,Caution and advice," @BreakingNews: Spotters confirm a tornado on the ground moving toward Joplin, Mo., where a twister on Sunday killed 124 people - CNN",sports_chick1
359,Other,Caution and advice,Tornado Watch for portions of the area in IL until 9:00pm CDT. #ilwx,severewarn
360,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Forecast for tomorrow? Flood watch, Tornado watch, Severe Thunderstorm warning. #sweet",Nickfreaknesss
361,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Geez tornado watch for MA, and severe storms due in tonite...of course when I'm stoked to catch Ray LaMontagne. #damnyouweather",Cfavs82
362,A tornado sighting/touchdown has been reported,Caution and advice," @TWCBreaking: Those in Guthrie, OK need to TAKE COVER NOW.  LARGE, VIOLENT #TORNADO HEADED TOWARD THAT AREA!!!  PLEASE RETWEET!!!",RKOforever
363,A tornado sighting/touchdown has been reported,Caution and advice," @stormchaser4850: Correction: DEVELOPING: Emergency management reported a tornado on the ground near Austin, Mississippi moving NE at ...",777images
364,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"New event. Tornado Warning from 5/25/2011 1:28 PM to 2:00 PM CDT for Ray County, Carroll County. More information.... http://fb.me/Ix0gvwIa",northmoskywarn
