,choose_one,text_no_rt,user
462,Informative (Indirect),#Joplin tornado caught on tape (http://t.co/IyQsDIe), 
463,Informative (Direct or Indirect),tornado-relief-knows... http://t.co/QhPhurr, 
464,Informative (Direct or Indirect),expect straight line winds in tulsa along with tornado threat, 
465,Informative (Direct or Indirect),expect straight line winds in tulsa along with tornado threat, 
466,Informative (Direct or Indirect),Tornado Watch has been discontinued for the New River Valley., 
467,Informative (Direct or Indirect),Tornado Watch has been discontinued for the New River Valley., 
468,Informative (Direct or Indirect),#Joplin is Overwhelmed & asking to stop all non-cash donations. Call 573-443-4523 or text JOPLIN to 864833 to find out how you can help., 
469,Informative (Direct or Indirect),@TheGrottoTweets Hadn't heard that republicans voted against offering immediate aid to #Joplin. Sad., 
470,Informative (Indirect),WHERE WAS THIS??? OMG @wxbrad: @twcMarkElliot  @NiaNoelle: A picture of the tornado in my moms neighborhood http://bit.ly/iAEvaM, 
471,Informative (Indirect),Going live on #CNN - breaking news re multiple deaths in #Oklahoma as new tornado strikes PLUS incredible survival sto ..., 
472,Informative (Direct or Indirect),Tornado Warning now for NE Parker and Northern Tarrant County Texas including the northern suburbs of Ft. Worth., 
473,Informative (Direct or Indirect),And it's starting again. First tornado of the night has killed 3 in Oklahoma. Missouri is directly in its path. :( Please God no more., 
474,Informative (Direct or Indirect),Tornado on the ground just to the north of Rome moving toward Ponder and Justin. Other near Azle moving toward Eagle Mountain Lake., 
475,Informative (Direct),Yesterday's pounding rain obscured a haunting sound: the lonely chirps of smoke alarms buried in the #Joplin rubble., 
476,Personal only,Three small children missing in a Oklahoma town. They got separated from their family as the tornado came through the ..., 
477,Informative (Direct),We are in a tornado watch Wooo! #Godhelpus #tornado, 
478,Informative (Indirect),7:22 Oklahoma Medical Examiners office sent out a correction.. 4 dead. Not seven. #okwx, 
479,Informative (Direct or Indirect),Just south of Avondale debris noted..TORNADO ON THE GROUND #txwx, 
480,Personal only,Dallas-Fort Worth friends an absolute must follow particularly during bad weather: @RedCrossDallas. #txwx, 
481,Informative (Direct or Indirect),Tornado Warning for Denton County. This includes the City of Denton! #txwx, 
482,Informative (Direct or Indirect),#Joplin #severe threat accelerated!    2 hours from now.   RIGHT NOW Damaging winds and hail appear to be biggest threat., 
483,Personal only,Rep. Mullery (D - N. Mpls) asks for moment of silence on House floor in recognition of tornado victims. #mnleg #mnstorms, 
484,Informative (Direct or Indirect),Wind damage on NW expressway from turnpike to council. #okwx, 
485,Informative (Indirect),Rep. Eric Cantor: No funds for Joplin tornado relief without budget cuts elsewhere. http://huff.to/mLhgOc, 
486,Informative (Direct or Indirect),Tornado at highway 99 and highway 10 in OK...heavy rain strong hook echo...possible rain wrapped tornado...first r ..., 
487,Personal only,Guess it's time to go do the tornado alley resident porch visit., 
488,Personal only,people trippen about these tornado warnings im from new orleans so that shit dont faze me lol!! #CALMYASSESDOWN, 
489,Informative (Indirect),IF YOU KNOW ANYONE IN MARIETTA #OK GET READY OR OUT OF THE WAY! v 4Warn http://is.gd/wkx7bt #tornado #OKWX #oklahoma #OK, 
490,Personal only,CANT WIN FOR LOSING RT @jwalt10 Gettin ready for a possible tornado..keep the 4 states area in ur prayers, 
491,Informative (Direct or Indirect),The Tornado killed 4 people In the CLEVELAND COUNTY thats sucks really bad for the families in that area!!! But the heavy storm is over., 
492,Informative (Indirect),2011 Tornado Season Climate Factors http://smcd.me/l4cZpO, 
493,Informative (Direct or Indirect),Tornado outbreak in progress N & NW of Dallas. Everyone in the Metroplex needs to be listening to wx right now. #txwx, 
494,Informative (Direct or Indirect),Storm is moving into Sand Springs.. wind could gust as high as 90mph.  Heed warnings..  #okwx, 
495,Informative (Indirect),OK Mesonet site in El Reno OK reported a gust to 151 mph as a tornado passed nearby this afternoon!  #txwx, 
496,Informative (Indirect),Video: TV crew captures huge tornado http://buz.tw/uyOm0, 
497,Informative (Indirect),Tornado chaser talks lightning http://om.ly/BVGuM, 
498,Informative (Indirect),$10 million in La Crosse tornado damage http://bit.ly/iQG8s0, 
499,Informative (Direct or Indirect),Under a tornado watch in Dallas!! But still tweeting for @DamienNettles #imcd, 
500,Informative (Direct or Indirect),also Tornado warnings for other counties where family is at: Nowata & Tulsa in OK Montgomery in KS., 
501,Informative (Direct or Indirect),Oklahoma - A broad tornado has blown through the Oklahoma City metropolitan area at the start of evening rush hour confirmed 4 dead., 
502,Personal only,@IsAaronSmith sitting on the porch with a guinness. Ready for the big show. #okwx #ithinkstormsarecool, 
503,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
504,Informative (Direct or Indirect),TORNADO ON GROUND NEAR AURORA AND RHOME, 
505,Informative (Direct or Indirect),Tornado warning for western Grayson county, 
506,Personal only,Otherwise things are just great #Joplin, 
507,Other,@_AlejAcosta chika llevan 15 min sin darla por q cortaron la programcaion por lo de los tornado, 
508,Personal only,"Me: """"Tornado alert across the US.."""" Sean: """"Where are @alltimelow?"""" Me: """"UK."""" Sean: """"Thank the holy mother of fucking Jesus and God.""""", 
509,Informative (Direct or Indirect),@TheGrottoTweets Hadn't heard that republicans voted against offering immediate aid to #Joplin. Sad., 
510,Informative (Direct or Indirect),If all the tornado wreckage photos haven't gotten to you yet ... this before-and-after in Joplin most certainly will http: ..., 
511,Informative (Direct or Indirect),Tornado Warning. Fantastic., 
512,Informative (Indirect),Media reports saying at least 4 dead in Oklahoma. #okwx, 
513,Informative (Direct or Indirect),Possible #tornado on the ground near Ixl #Oklahoma. Very strong tight rotation near SE Welty Oklahoma. SEEK SHELTER  ..., 
514,Informative (Indirect),@bruceciskie: Weather Channel says Joplin tornado rated an EF-5 the strongest. Took a bunch of brilliant scientists to come up with that?, 
515,Informative (Indirect),2 fatalities from El Reno. Debris falling from sky in Norman. Too many storms happening at once. v 4Warn http://is.gd/wkx7b ..., 
516,Personal only,Quite frankly the last thing I'd want to see after living thru a destructive tornado is Obama's face., 
517,Personal only,Solidarity with tornado victims @TPO_Hisself @Starr_Foxx @DeltaDivaRN @debster7301 @ssells @marcia1907 @phoenixstar9 @heartcures #Praying!, 
518,Informative (Indirect),Preciate it gurl. RT @SexyReddAtl: @cbazzthegreat I follow @twcbreaking @severestudios @weatherchannel to hear abt tornado stuff, 
519,Informative (Direct or Indirect),Average tornado warning is about 15 min now.. #Joplin had 24 min, 
520,Informative (Direct or Indirect),Average tornado warning is about 15 min now.. #Joplin had 24 min, 
521,Informative (Indirect),Wow! RT @AP: BREAKING: Authorities say death toll from Joplin Mo. tornado now at 122; more than 750 people injured -CC, 
522,Informative (Indirect),YIKES ! RT @colonialdude: RT @Deb_Cowans: #Tornado in El Reno #Ok minutes ago: http://youtu.be/roX4msxfs_w  #OKw, 
523,Personal only,Ey...when was that Tornado in Joplin? YESTERDAY (monday the 23rd)? or Sunday?, 
524,Personal only,@emercait23 are you serious? tornado &gt; SVU. #justsayin &lt;&lt; uhh yeah., 
525,Personal only,Calling from #Joplin @jeffnene from @convoyofhope praying in front of St. Johns. Praying for city now on @klovemornin ..., 
526,Informative (Direct or Indirect),'Duggar family helps rescue tornado survivors' Great nice people. Granted when you're the size of a small army you should help more..., 
527,Personal only,God bless those facing new tornado threats., 
528,Informative (Direct),Story of boy pulled from rubble - keep searching! #joplin Need some miracles in MO. #pray, 
529,Informative (Direct),I guess The Rapture's still mad Chris Bosh left. RT @RyanW5: Tornado warning in my city! Let's do this http://t.co/2O9SIVk, 
530,Informative (Indirect),DEVELOPING: Tornado was reported on the ground on the west side of Azle Texas moving E at 35 mph (738 pm CDT), 
531,Personal only,So sorry for those injured in the tornado. If you are in the path of one DO NOT take it lightly. Seek shelter!, 
532,Informative (Direct or Indirect),Triage: Unconscious/unresponsive breathing victim place on side. Priority 1 move on to next victim  #1stAid4 #okwx  ..., 
533,Informative (Direct),@ShayLynnxx me 2! Pray for me tho. I'm n a tornado warn wit 75 mph winds! I no I'm high rite now but the sky isn't supposed 2 change 3colors, 
534,Informative (Direct),FB RT: Small funnel just went over the river at Sand Springs and then dissolved #okwx, 
535,Informative (Direct),@kenfleet lol the weather has been so bad since I've been home. Tornado's hail flooding... WTF mother nature., 
536,Informative (Direct or Indirect),Roxboro coming your way next. #ncwx #tornado, 
537,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
538,Informative (Direct or Indirect),Tornado outbreak in progress N & NW of Dallas. Everyone in the Metroplex needs to be listening to  ..., 
539,Informative (Indirect),1500 ppl still unaccounted for in the tornado? Good Lawd! #JoplinMO, 
540,Informative (Indirect),On the @PJTatler: Tornado update http://bit.ly/m091lL #tcot, 
541,Informative (Direct or Indirect),Joplin under another tornado watch till 3am...stay safe everyone!!!, 
542,Personal only,Leaving Memphis for Springfield. Tornado talk dominates the plane; OKC Joplin childhood close calls from midwesterners., 
543,Personal only,Sitting here under a Tornado Warning but Bye Old Mechanic Man from Lordi makes my day! http://youtu.be/MPHaahKa1Nk, 
544,Personal only,So many affected by these terrible & deadly #tornadoes! Please #PRAY #Patriots & #Help whenever & wherever you can! #To ..., 
545,Informative (Direct or Indirect),TOR Warning Denton County.  TAKE COVER NOW. #txwx, 
546,Personal only,thanks @mhucky yes we are safe.. Sa missouri yung tornado grabe ang damage thank GOD malayo dito..., 
547,Informative (Direct or Indirect),Tornado WARNING also includes Wise and Denton counties. Supercell has split., 
548,Personal only,In the middle of #Joplin w/ @m1ckmack. Words cannot describe, 
549,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
550,Informative (Direct or Indirect),Heartbreaking as Mike Hare tells Eliot Spitzer of his search for his teenage son Lantz in #Joplin, 
551,Personal only,thoughts out to #joplin ...stay strong &lt;3, 
552,Personal only,Pray for #Joplin n all them tornado victims...it helps., 
553,Personal only,@Luv2LiveLyf u hear this thunder man a tornado bout to hit glad im in the basement, 
554,Informative (Direct or Indirect),Tornado on the ground near Russett OK. #okwx, 
555,Informative (Direct or Indirect),Tornado Support for Oklahoma One mile South-west of Little Oklahoma.. Tornado on the ground TAKE COVER!!!!, 
556,Informative (Direct or Indirect),Tornado watches now cover ALL of northeast Kansas including Douglas County.  #ksstorms, 
557,Informative (Direct or Indirect),Our hearts are w/ victims of #Joplin tragedy. House #GOP ready to help & has found offsets for emergency $$$, 
558,Personal only,Ahhhhhh it's a tornado!!!!!, 
559,Personal only,TORNADO WARNING!!!!! || ummmm :(, 
560,Informative (Indirect),Tornado watch until 3am includes the St. Joseph area. yfrog.com/h261htjj -Oh goody., 
561,Other,122 muertos 750 heridos y 2.000 casas destruidas tras el tornado de Misuri http://bit.ly/jWsWRi, 
562,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
563,Personal only,Clark Hunt Scott Pioli and Mark Donovan will personally collect tornado relief supplies at Arrowhead's Lot C tomorrow a ..., 
564,Informative (Direct),Mind blowing pic of tornado damage. http://t.co/RoJk6nI, 
565,Personal only,It's windy as an M-F'er out at the Ballpark.... maybe that rapture dude was off by a couple of days! #Tornado #weather, 
566,Informative (Direct or Indirect),#Joplin #severe threat accelerated!    2 hours from now.   RIGHT NOW Damaging winds and hail appear to be biggest threat., 
567,Informative (Direct or Indirect),Tornado Watch now for entire metro area.  Just issued., 
568,Informative (Indirect),Tornado reported 2 miles west of Azle TX.  This is to the northwest of Ft. Worth.  Radar warning info: http://wxch.nl ..., 
569,Other,Parece que ya tocÃƒÂŒ_ tierra un tornado como a 1 hr de acÃƒÂŒÃƒÂ o.O, 
570,Informative (Direct or Indirect),well whats a good news station in Dallas?? word is its a tornado round these parts, 
571,Informative (Direct or Indirect),Tornado Warning for Denton County. Be safe everyone., 
572,Informative (Indirect),"Jeff Piotrowski has been streaming live ""ChaserCam"" tornado coverage near Oklahoma City. Intense at times. http://bit.ly/e9gagR", 
573,Informative (Direct or Indirect),Entire KC metro area is under a tornado watch until 11 PM.  Updates as needed, 
574,Informative (Direct or Indirect),Another very dangerous storm possible #tornado just NE of Leon #Oklahoma. Seek shelter NE of this cell! #OKWX Follow  ..., 
575,Personal only,Thanks! @RYDAKA GREAT WORK the last two days Michael! #RedCross #JoplinTornado #APAT #makingadifference, 
576,Informative (Indirect),Grim numbers from #joplin RT @GiannaToboniABC: We're hearing the death toll here is 169 and rising @GMA @ABC, 
577,Informative (Direct),House destroyed trees down in Osage county #okwx, 
578,Informative (Indirect),@literarychica @laurenmvb TWC had an incredible stream of the tornado in Birmingham AL a month ago. Just FYI. :-), 
579,Personal only,@imasnod #donr #Freedom #iwillmissnascar #Tornado #looting #phernt #getoutyourfuckincheckbook, 
580,Personal only,#OKWX any warnings for Prague?, 
581,Informative (Direct or Indirect),Chandler Davenport Stroud #Oklahoma SEEK SHELTER! Very dangerous storm moving NE to your location. #OKWX, 
582,Informative (Direct or Indirect),FUCK YEAH TORNADO WARNINGS., 
583,Informative (Indirect),Tornado reported on the ground near Springtown headed toward Lake Worth area, 
584,Informative (Direct),Tornado on the ground outside Azle TX, 
585,Informative (Direct or Indirect),TORNADO ON THE GROUND IN NW PARKER COUNTY, 
586,Other,@MSNBC OK having @MMFlint on Lawrence's show is a massive improvement over the morbid tornado coverage earlier good move #tlot #p2, 
587,Informative (Direct),Baseball size hail and a tornado formed near North Richland Hills... This is intense., 
588,Personal only,Prayers out to OK City. Continuing prayers for #Joplin and Tuscaloosa. May God be with you and provide strength and comfort., 
589,Informative (Direct or Indirect),Dahsyatnya tornado Missouri, 
590,Informative (Indirect),And disturbingly NEW tornado alert just been issued for #Joplin. We'll have all the latest news on @PiersTonight at 9 ..., 
591,Informative (Direct),A lot of class shown by the Orioles tonight with a moment of silence and flags at half staff to honor victi ..., 
592,Personal only,GOP hates women middle class gays & now tornado victims.   Shameful.#wiunion Cantor, 
593,Personal only,WTF?!?! I'm in target in Dallas and the lady comes on the speaker telling everyone to stay away from the windows due to a tornado warning., 
594,Informative (Direct or Indirect),Tornado Watch now for entire metro area.  Just issued., 
595,Informative (Indirect),Big tornado hits Oklahoma City at rush hour http://bit.ly/jR9aC1, 
596,Informative (Direct or Indirect),Tornado now on ground just north of Azle moving ENE 40. -sm, 
597,Informative (Direct),Funnel cloud went away:( I'd don't want people to get hurt but tornado chasing is on my bucket list, 
598,Informative (Direct or Indirect),Saginaw Haslet Eagle Mountain Lake -- TAKE COVER! Tornado on the ground. #TXWeather, 
599,Informative (Direct or Indirect),Tornado watches are in effect from Texas to Nebraska, 
600,Personal only,My apartment that I lived in in college got destroyed by the tornado #realscarytalk, 
601,Informative (Direct or Indirect),Eyes should now move to eastern OK and north/NE Texas. #okwx #txwx, 
602,Personal only,Well a Tornado is on the ground the news is saying. All North West of me. Damn stay away from me. Dude said softball ..., 
603,Informative (Direct or Indirect),TORNADO WARNING DENTON COUNTY., 
604,Informative (Indirect),Tornado spotted on the ground near Azle area says @CBS11Larry, 
605,Informative (Direct or Indirect),Tornado Watch now for entire metro area.  Just issued., 
606,Personal only,#ASKTAYLOR we need you in joplin missouri bring hope to the city after the devastating tornado. will you please come?!?!?!?!?!, 
607,Informative (Direct),Thank you KC  RT @JoshLooney The relief turnout was amazing and is still going on C...we'll be back at it tomorrow same place #Joplin, 
608,Personal only,Um Emily.. there's actually a tornado coming..  #SOWAKEUP http://t.co/5eULnnO, 
609,Personal only,no more complaining about spring weather seeing what has happened to #Joplin and now OKC, 
610,Informative (Direct),Oklahoma half-mile tornado was on ground for 60 miles today 2 hrs ago.. crazy stuff !!!! N another big one just touched down !!!!! #cnn, 
611,Informative (Direct),Awesome. We're under a tornado watch until midnight., 
612,Informative (Direct or Indirect),BREAKING: Two people have been killed in the tornado that struck near El Reno OK today., 
613,Other,In the calliber of May 3rd 1999 #OKC #Tornado #OKwx - good thing not hearing about too many deaths., 
614,Informative (Direct or Indirect),Urgent those in #Joplin #Tornadowatch past #Midnight please retweet!, 
615,Informative (Indirect),Tornado in Denton County TX now reported to be near Lantana. Warning info and radar: http://wxch.nl/laelgs, 
616,Informative (Direct or Indirect),NE Parker County and N Tarrant County now TOR warned. TORNADO WARNING. #tornado #txwx, 
617,Informative (Direct or Indirect),SW OKC Barrio is in the clear of the storms. Jason Doyle Memorial Compound safe & sound. #okwx #mesocyclonewinning! #tornadoblood!, 
618,Informative (Direct or Indirect),Tornado Watch for portions of the area in KS until 3:00am CDT. #kswx, 
619,Informative (Direct or Indirect),@travel4life @Wendy_Kingston US Storm Prediction Center itself has evacuated due to an approaching tornado. 2 dead in metro Oklahoma City., 
620,Personal only,F5 tornadoes in Oklahoma City. :( I'll be happy when tornado season is over., 
621,Informative (Direct or Indirect),Joplin death toll now 122 winds were 200+ mph  Sadly toll likely to rise and more deaths in Oklahoma tonight worst torn ..., 
622,Informative (Direct or Indirect),:( RT @bvillelive: 7:31 Bartlesville is now under a tornado warning, 
623,Informative (Indirect),The Weather Channel will be broadcasting live through 2 a.m. THURSDAY at the earliest to track this #torna ..., 
624,Informative (Direct or Indirect),Tornado warning issued for following counties: Collin Cooke Dallas Denton Grayson Parker Tarrant Wise, 
625,Informative (Direct or Indirect),Possible Tornado 5 miles south of Poolville  in Parker Cty. moving east at 40 mph.  This will track very close to Springtown.  Rshade, 
626,Informative (Indirect),Medical examiner: 4 dead in Oklahoma tornadoes: A broad tornado has blown through the Oklahoma City metropolitan area at the start of..., 
627,Informative (Direct or Indirect),Let this photo gallery of the Missouri tornado's destruction remind us to never take life for granted. Prayers to... htt ..., 
628,Informative (Direct or Indirect),Tornado Warnings west and north of Fort Worth TX.  Extremely large hail possible too a la famous Mayfest hail storm 1995. #tornadoalleylive, 
629,Informative (Direct or Indirect),Funnel near Fairview moving east. TORNADO ON THE GROUND near Azle. Debris spotted., 
630,Informative (Direct),Ever been inside a tornado?  AND documented it?  cell phone footage from #Joplin  http://ow.ly/51lB6, 
631,Informative (Direct or Indirect),Crap. Tarrant county has a tornado warning. #poop, 
632,Informative (Indirect),CNN: Just In: Storm Prediction Center issues tornado watch 4 western Missouri; extreme eastern Kansas until 3am CDT;  ..., 
633,Personal only,Love this Micah kept himself busy at the tornado shelter this evening... http://t.co/h1axdKA, 
634,Personal only,@thedigsy I hear the tornado watch is on for you guys. You okay?, 
635,Personal only,dang. if your town is issued a tornado watch twice in 48 hours time to relocate. #Joplin, 
636,Informative (Direct or Indirect),#tornadoes in #Oklahoma  now. More expected in #Joplin  in the next 3 hrs. Say a prayer, 
637,Informative (Direct or Indirect),Strong winds..maybe a tornado...near Boyd. The strongest ciirculations are near Boyd and just south of Agnes., 
638,Informative (Direct or Indirect),ardmore bartlesville okmulgee OK still under tornado warnings, 
639,Informative (Direct or Indirect),New Tornado watch out, 
640,Informative (Direct or Indirect),Joplin now in Tornado watch area storms tracking NE through Oklahoma., 
641,Informative (Direct or Indirect),Tornado Watch now for entire metro area.  Just issued., 
642,Informative (Direct or Indirect),Tornado Watch now for entire metro area.  Just issued., 
643,Informative (Direct or Indirect),Tornado watch #363 has been issued for the KC Metro area until 3am. Make sure your weather radios are working! #KCStorms #KCChasers, 
644,Personal only,#ASKTAYLOR we need you in joplin missouri bring hope to the city after the devastating tornado. will you please come?, 
645,Informative (Direct or Indirect),Cops just went down street in #Joplin with PA system saying high winds coming take shelter now. Hol ..., 
646,Informative (Indirect),Going live on #CNN - breaking news re multiple deaths in #Oklahoma as new tornado strikes PLUS incredible survival sto ..., 
647,Informative (Direct or Indirect),Many Still Unaccounted for After Joplin Tornado: About 1500 people are unaccounted for in this battered city a... ..., 
648,Informative (Indirect),@GayleWestover tornado misses them by 3 miles. PTL!, 
649,Informative (Direct),Got the Tornado Warning email from Tecumseh . . . 4 minutes after it expired. #fb, 
650,Informative (Indirect),MSNBC now airing live tornado coverage from KFOR in Oklahoma City. KFOR coverage is astonishing and dramatic., 
651,Informative (Direct or Indirect),Radar indicates a possible tornado between Poolville and Peaster., 
652,Personal only,@shawnakey & @lakeefe are the only things making my tornado flight delays in Dallas bearable right now. Lifesavers those two., 
653,Informative (Direct or Indirect),Parker storm is just 48000 feet of bitchiness. It is sick. #txwx, 
654,Informative (Indirect),#joplin is 92 miles ne of the current tornado warning in area., 
655,Informative (Direct or Indirect),Flash Flood Warning until midnight Tornado Watch until 10pm, 
656,Informative (Direct or Indirect),@Suicidal_Smile Joplin Missouri Its been hit by a deadly tornado. Are you from the UK?, 
657,Personal only,Dear @cnn @msnbc We can hear same old politics any night. Tonight Americans are in danger. Cover tornado outbreak LIVE  ..., 
658,Personal only,yea it looks real damn creepy outside right now. like the opening scene of a movie about a tornado. #crap, 
659,Other,Reagan is giving her tooth fairy money to @ConvoyofHope at her school fundraiser at Wanda Gray Elementary for #Joplin. So sweet., 
660,Informative (Direct),Ugh... 7 more deaths in OKC today because of tornado's!, 
661,Informative (Direct or Indirect),Rain and thunder beginning in South Tulsa. #okwx, 
662,Informative (Direct or Indirect),Rain and thunder beginning in South Tulsa. #okwx, 
663,Personal only,Watching American Idol with the fam while awaiting the bad possible tornado storms. A strategic closet shelter is empty and waiting..., 
664,Informative (Indirect),Family Looks For Graduate Lost In Tornado: A Joplin family is looking for their son who was lost in the storm coming... http://dlvr.it/StLxN, 
665,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
666,Informative (Direct or Indirect),Ditto this &gt; RT @jpe33180: @Lawrence take #bigoil tax breaks to pay for #tornado aid., 
667,Informative (Direct or Indirect),The Joplin tornado has now been rated an EF-5 with winds over 200 mph., 
668,Informative (Direct or Indirect),IF YOU KNOW ANYONE IN MARIETTA #OK GET READY OR OUT OF THE WAY! v 4Warn http://is.gd/wkx7bt #tornado #OKWX #oklahoma #OK, 
669,Other,please pray for the tornado victims.. PLEASE.., 
670,Personal only,RT: @MsChristalLloyd: WTH IS THIS?! it better tornado or ima be pissed!, 
671,Informative (Indirect),Important: @Redcross & #Joplin MO needs your help! Txt REDCROSS to 90999 to donate or online help at http://bit.ly/eZJ ..., 
672,Informative (Direct or Indirect),DON'T BE ANYWHERE ON I-635 west of US-75. GET OFF THE ROAD!! Tornadic storm coming. #txwx, 
673,Informative (Direct or Indirect),Baseball sized hail possible with the Cooke-Grayson storm. #txwx, 
674,Personal only,i feel sorry for everyone in oklahoma getting hit by the tornado's... rex is there :(, 
675,Personal only,The footage of these tornadoes in Oklahoma is terrifying. Unreal. #okwx, 
676,Informative (Direct or Indirect),Freeze. How does Tornado Joplin and Hurrican Katrina correlate? They are two completely different weather disasters !, 
677,Informative (Direct),Gah @Nash076 and @JesuOtaku outran a tornado an ICE STORM in forced @thelindsayellis into a ditch... ALL CA MEMBERS G ..., 
678,Informative (Indirect),Possible #tornado on the ground coming into Little #Oklahoma. SEEK SHELTER IN LITTLE OK! #OKWX Follow 4 updates., 
679,Informative (Direct or Indirect),Oh FFS -- there is another tornado watch for #Joplin!  Stay safe folks., 
680,Informative (Indirect),The weather lately is scary! Reports are breaking that an EF-5 has touched down in OKC #PleasePrayForTheirSafety and dont forget #Joplin, 
681,Informative (Direct or Indirect),Tornado Watch now for entire metro area.  Just issued., 
682,Informative (Direct or Indirect),Tornado warning in my hometown in northern Washington County!, 
683,Informative (Direct or Indirect),Treatment for shock Pt1: treat obvious injury/illness keep warm reassure and raise legs except in following cases. ..., 
684,Personal only,GOP hates women middle class gays & now tornado victims.   Shameful.#wiunion Cantor, 
685,Personal only,"CNN currently interviewing a doctor in #Joplin.  """"How's the situation there?""""", 
686,Informative (Indirect),Weather service issues #tornado watch for western Missouri extreme eastern Kansas http://on.cnn.com/k1ZN2b, 
687,Personal only,I have heard some sad stories about the tornado in Joplin. And It breaks my heart too see the families suffering.  ..., 
688,Personal only,Dear @cnn @msnbc We can hear same old politics any night. Tonight Americans are in danger. Cover tornado outbreak LIVE otherwise you #FAIL, 
689,Informative (Direct),People asking about shelter when storm is 30-60 min away TOO LATE! Plan this when a watch is issued or BEFORE! #tornado, 
690,Informative (Direct or Indirect),There's a tornado on the ground., 
691,Informative (Direct or Indirect),The tornado formed around 150th and 76th in McClain Co. It then split and cut two paths through the Washington/Goldsby area., 
692,Other,Tornado en Dallas y granizo shit, 
693,Personal only,Dear @cnn @msnbc We can hear same old politics any night. Tonight Americans are in danger. Cover tornado outbreak LIVE  ..., 
694,Informative (Direct or Indirect),My dad just called ne n said 6 ppl died from a tornado in the city. Tryna make it Home #prayforme &lt;&lt; be careful, 
695,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
696,Personal only,@carterhulsey @TheDenison @christoferdrew just developed my pictures of #joplin for my poster for funraising for #joplinrelief, 
697,Informative (Indirect),Spotter reports seeing debris from a tornado that's on the ground at Willow Springs Road south of Avondale by 8 miles., 
698,Personal only,We could help tornado victims if we a) Had sensible taxes b) Got out of Afghanistan 3) Ended war on drugs 4) Never electe ..., 
699,Informative (Indirect),Medical examiner headed to logan county- believed to be around 3-5 deaths in Logan county. #okwx, 
700,Informative (Direct or Indirect),Tornado to the north of Tishomingo toward Coalgate... Wapanucka is in the path... #okwx, 
701,Informative (Direct or Indirect),"Joplin under a tornado watch. Hey mother nature ""Too Soon"" !", 
702,Personal only,#ASKTAYLOR we need you in joplin missouri bring hope to the city after the devastating tornado. will you please come darlin, 
703,Informative (Indirect),#ksstorms RT @kctv5_10pm: RT @KCTV5Newsdesk: Tornado Watch now for entire metro area.  Just issued., 
704,Informative (Direct or Indirect),#Tornado watch about to be issued for KC area. #KCStorms, 
705,Other,http://wp.me/pfrZ6-bv Harold Camping's Family Radio website on May 21st vs. after + something MORE important #haroldcamping #joplin, 
706,Informative (Direct or Indirect),When ? RT @tetibyab: Apparently the tornado is gonna pass thru Johnson county #Jesustakethewheel, 
707,Informative (Direct or Indirect),Tornado Warning for the northern parts of Ft. Worth TX., 
708,Personal only,Thank you all for your responses to my countless tweets and twitpics from #Joplin... the devastation is hard to fathom. ..., 
709,Informative (Direct),Still searching for tornado devastation in Joplin MO. Can't find it. Not even a downed tree. See my geotags. Am I in the right town?, 
710,Informative (Direct or Indirect),Tornado outbreak in progress north and NW of Dallas. Everyone in the Metroplex needs to be listenin ..., 
711,Personal only,@andersoncooper be safe in #Joplin we need our #ac360! On aa scale of 1-5 how tight are your clothes #sethmeyersjoke, 
712,Informative (Direct or Indirect),Tornado on the ground near Russett OK. #okwx, 
713,Personal only,#ASKTAYLOR we need you in joplin missouri bring hope to the city after the devastating tornado. will you please come????, 
714,Informative (Direct),Goodness....Why does Joplin MO have another Tornado Watch??....This is too much #LORDHAVEMERCY, 
715,Informative (Direct),The life of an okie. The split sky of a tornado storm. Pitch black up front & sun shining bright in da back.  http://instagr.am/p/Erhr5/, 
716,Informative (Direct),First Baptist church in #Piedmont #OK will be open as a shelter tonight. #oklahoma #okwx, 
717,Informative (Direct or Indirect),Damaging wind threat coming into Tulsa OK #tornado #okwx, 
718,Informative (Direct or Indirect),Tornado craziness in OK. I am out of here http://goo.gl/fb/nw6nk, 
719,Personal only,Out of all the videos and photos of the Tornado disasters. The worst was the splattered and pool of blood on the ground. #pray, 
720,Informative (Direct or Indirect),Tornado is ON THE GROUND along Jacksboro Highway in Azle TX. Take shelter!, 
721,Informative (Direct or Indirect),Kansas City you're now under a Tornado Watch until 3 AM. #fb #ksstorms, 
722,Personal only,As much as I want to tweet about marketing + adv. I can't get my thoughts away from a storm headed our way. Has already killed 8. #arwx, 
723,Informative (Indirect),Okay CNN has brought Michael Brown former FEMA director on to discuss #Joplin response.  #insulting, 
724,Personal only,Margs and 7 layer dip. Prepared for the tornado, 
725,Informative (Indirect),60mins hill circuits arnd Orchard Hills. Now watching tornado news on CNN. Glad I live in SoCal. I'll take earthquakes 2 tornado's anytime., 
