,instruction,tweet_no_rt,type_of_message
380,"names a structure, road, service, line, etc. that is not working or has been damaged",#NYC life comes back...taxis traffic Sanitation Dept equipment cleans and FDR Drive opens (it was under 5ft of water last night) #Sandy,"Informative: damage (building, road, lines, etc.)"
381,"names a structure, road, service, line, etc. that is not working or has been damaged",#NYC life comes back...taxis traffic Sanitation Dept equipment cleans and FDR Drive opens (it was under 5ft of water last night) #Sandy,"Informative: damage (building, road, lines, etc.)"
382,"names a structure, road, service, line, etc. that is not working or has been damaged",#NYC life comes back...taxis traffic Sanitation Dept equipment cleans and FDR Drive opens (it was under 5ft of water last night) #Sandy,"Informative: damage (building, road, lines, etc.)"
383,"names a structure, road, service, line, etc. that is not working or has been damaged",#NYC life comes back...taxis traffic Sanitation Dept equipment cleans and FDR Drive opens (it was under 5ft of water last night) #Sandy,"Informative: damage (building, road, lines, etc.)"
384,"names a structure, road, service, line, etc. that is not working or has been damaged",#NYC life comes back...taxis traffic Sanitation Dept equipment cleans and FDR Drive opens (it was under 5ft of water last night) #Sandy,"Informative: damage (building, road, lines, etc.)"
385,warns about a potential hazard or advices what to do,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Informative: caution or advice
386,warns about a potential hazard or advices what to do,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Informative: caution or advice
387,warns about a potential hazard or advices what to do,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Informative: caution or advice
388,warns about a potential hazard or advices what to do,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Informative: caution or advice
389,warns about a potential hazard or advices what to do,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Informative: caution or advice
390,warns about a potential hazard or advices what to do,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Informative: caution or advice
391,warns about a potential hazard or advices what to do,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Informative: caution or advice
392,warns about a potential hazard or advices what to do,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Informative: caution or advice
393,warns about a potential hazard or advices what to do,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Informative: caution or advice
394,"names a structure, road, service, line, etc. that is not working or has been damaged",@Cyntroe -we've had Sandy's Remnants Down here in The Lakes. Mid 30's Real windy....some snow w/sleet/rain.....,"Informative: damage (building, road, lines, etc.)"
395,"names a structure, road, service, line, etc. that is not working or has been damaged",@Cyntroe -we've had Sandy's Remnants Down here in The Lakes. Mid 30's Real windy....some snow w/sleet/rain.....,"Informative: damage (building, road, lines, etc.)"
396,"names a structure, road, service, line, etc. that is not working or has been damaged",@Cyntroe -we've had Sandy's Remnants Down here in The Lakes. Mid 30's Real windy....some snow w/sleet/rain.....,"Informative: damage (building, road, lines, etc.)"
397,"names a structure, road, service, line, etc. that is not working or has been damaged",@Cyntroe -we've had Sandy's Remnants Down here in The Lakes. Mid 30's Real windy....some snow w/sleet/rain.....,"Informative: damage (building, road, lines, etc.)"
398,"names a structure, road, service, line, etc. that is not working or has been damaged",@Cyntroe -we've had Sandy's Remnants Down here in The Lakes. Mid 30's Real windy....some snow w/sleet/rain.....,"Informative: damage (building, road, lines, etc.)"
399,"names a structure, road, service, line, etc. that is not working or has been damaged",@Cyntroe -we've had Sandy's Remnants Down here in The Lakes. Mid 30's Real windy....some snow w/sleet/rain.....,"Informative: damage (building, road, lines, etc.)"
400,"names a structure, road, service, line, etc. that is not working or has been damaged",@Cyntroe -we've had Sandy's Remnants Down here in The Lakes. Mid 30's Real windy....some snow w/sleet/rain.....,"Informative: damage (building, road, lines, etc.)"
401,"names a structure, road, service, line, etc. that is not working or has been damaged",@Cyntroe -we've had Sandy's Remnants Down here in The Lakes. Mid 30's Real windy....some snow w/sleet/rain.....,"Informative: damage (building, road, lines, etc.)"
402,"names a structure, road, service, line, etc. that is not working or has been damaged",@Cyntroe -we've had Sandy's Remnants Down here in The Lakes. Mid 30's Real windy....some snow w/sleet/rain.....,"Informative: damage (building, road, lines, etc.)"
403,"names a structure, road, service, line, etc. that is not working or has been damaged",@Cyntroe -we've had Sandy's Remnants Down here in The Lakes. Mid 30's Real windy....some snow w/sleet/rain.....,"Informative: damage (building, road, lines, etc.)"
404,indicates who is missing or has been found,Ã¤Ã³Ã¬@peoplemag: #Sandy heroes! Nurses rescued newborns when the hurricane hit NYC and their hospital lost power http://t.co/Upb0fSRsÃ¤Ã³Â @kg1025,"Informative: people missing, or lost people found"
405,indicates who is missing or has been found,Ã¤Ã³Ã¬@peoplemag: #Sandy heroes! Nurses rescued newborns when the hurricane hit NYC and their hospital lost power http://t.co/Upb0fSRsÃ¤Ã³Â @kg1025,"Informative: people missing, or lost people found"
406,indicates who is missing or has been found,Ã¤Ã³Ã¬@peoplemag: #Sandy heroes! Nurses rescued newborns when the hurricane hit NYC and their hospital lost power http://t.co/Upb0fSRsÃ¤Ã³Â @kg1025,"Informative: people missing, or lost people found"
407,indicates who is missing or has been found,Ã¤Ã³Ã¬@peoplemag: #Sandy heroes! Nurses rescued newborns when the hurricane hit NYC and their hospital lost power http://t.co/Upb0fSRsÃ¤Ã³Â @kg1025,"Informative: people missing, or lost people found"
408,indicates who is missing or has been found,Ã¤Ã³Ã¬@peoplemag: #Sandy heroes! Nurses rescued newborns when the hurricane hit NYC and their hospital lost power http://t.co/Upb0fSRsÃ¤Ã³Â @kg1025,"Informative: people missing, or lost people found"
409,indicates who is missing or has been found,Ã¤Ã³Ã¬@peoplemag: #Sandy heroes! Nurses rescued newborns when the hurricane hit NYC and their hospital lost power http://t.co/Upb0fSRsÃ¤Ã³Â @kg1025,"Informative: people missing, or lost people found"
410,indicates who is missing or has been found,Ã¤Ã³Ã¬@peoplemag: #Sandy heroes! Nurses rescued newborns when the hurricane hit NYC and their hospital lost power http://t.co/Upb0fSRsÃ¤Ã³Â @kg1025,"Informative: people missing, or lost people found"
411,warns about a potential hazard or advices what to do,#Sandy has already made the record books with lowest pressure. Be safe everyone in the east mainly RI PA NYC NJ. Steer clear of the coast,Informative: caution or advice
412,warns about a potential hazard or advices what to do,#Sandy has already made the record books with lowest pressure. Be safe everyone in the east mainly RI PA NYC NJ. Steer clear of the coast,Informative: caution or advice
413,warns about a potential hazard or advices what to do,#Sandy has already made the record books with lowest pressure. Be safe everyone in the east mainly RI PA NYC NJ. Steer clear of the coast,Informative: caution or advice
414,warns about a potential hazard or advices what to do,#Sandy has already made the record books with lowest pressure. Be safe everyone in the east mainly RI PA NYC NJ. Steer clear of the coast,Informative: caution or advice
415,warns about a potential hazard or advices what to do,#Sandy has already made the record books with lowest pressure. Be safe everyone in the east mainly RI PA NYC NJ. Steer clear of the coast,Informative: caution or advice
416,warns about a potential hazard or advices what to do,#Sandy has already made the record books with lowest pressure. Be safe everyone in the east mainly RI PA NYC NJ. Steer clear of the coast,Informative: caution or advice
417,"names a structure, road, service, line, etc. that is not working or has been damaged",This is the explosion that blacked out lower Manhattan -- WATCH: http://t.co/FACgp8ap #Sandy,"Informative: damage (building, road, lines, etc.)"
418,"names a structure, road, service, line, etc. that is not working or has been damaged",This is the explosion that blacked out lower Manhattan -- WATCH: http://t.co/FACgp8ap #Sandy,"Informative: damage (building, road, lines, etc.)"
419,"names a structure, road, service, line, etc. that is not working or has been damaged",This is the explosion that blacked out lower Manhattan -- WATCH: http://t.co/FACgp8ap #Sandy,"Informative: damage (building, road, lines, etc.)"
420,"names a structure, road, service, line, etc. that is not working or has been damaged",This is the explosion that blacked out lower Manhattan -- WATCH: http://t.co/FACgp8ap #Sandy,"Informative: damage (building, road, lines, etc.)"
421,"names a structure, road, service, line, etc. that is not working or has been damaged",This is the explosion that blacked out lower Manhattan -- WATCH: http://t.co/FACgp8ap #Sandy,"Informative: damage (building, road, lines, etc.)"
422,"names a structure, road, service, line, etc. that is not working or has been damaged",This is the explosion that blacked out lower Manhattan -- WATCH: http://t.co/FACgp8ap #Sandy,"Informative: damage (building, road, lines, etc.)"
423,"names a structure, road, service, line, etc. that is not working or has been damaged",This is the explosion that blacked out lower Manhattan -- WATCH: http://t.co/FACgp8ap #Sandy,"Informative: damage (building, road, lines, etc.)"
424,"names a structure, road, service, line, etc. that is not working or has been damaged",Google Crisis Map links to a great series of maps showing #Sandy power outages. http://t.co/ypuLd6DJ,"Informative: damage (building, road, lines, etc.)"
425,"names a structure, road, service, line, etc. that is not working or has been damaged",Google Crisis Map links to a great series of maps showing #Sandy power outages. http://t.co/ypuLd6DJ,"Informative: damage (building, road, lines, etc.)"
426,"names a structure, road, service, line, etc. that is not working or has been damaged",Google Crisis Map links to a great series of maps showing #Sandy power outages. http://t.co/ypuLd6DJ,"Informative: damage (building, road, lines, etc.)"
427,"names a structure, road, service, line, etc. that is not working or has been damaged",Google Crisis Map links to a great series of maps showing #Sandy power outages. http://t.co/ypuLd6DJ,"Informative: damage (building, road, lines, etc.)"
428,"names a structure, road, service, line, etc. that is not working or has been damaged",Google Crisis Map links to a great series of maps showing #Sandy power outages. http://t.co/ypuLd6DJ,"Informative: damage (building, road, lines, etc.)"
429,"names a structure, road, service, line, etc. that is not working or has been damaged",Google Crisis Map links to a great series of maps showing #Sandy power outages. http://t.co/ypuLd6DJ,"Informative: damage (building, road, lines, etc.)"
430,"names a structure, road, service, line, etc. that is not working or has been damaged",Google Crisis Map links to a great series of maps showing #Sandy power outages. http://t.co/ypuLd6DJ,"Informative: damage (building, road, lines, etc.)"
431,"names a structure, road, service, line, etc. that is not working or has been damaged",Google Crisis Map links to a great series of maps showing #Sandy power outages. http://t.co/ypuLd6DJ,"Informative: damage (building, road, lines, etc.)"
432,"names a structure, road, service, line, etc. that is not working or has been damaged",Google Crisis Map links to a great series of maps showing #Sandy power outages. http://t.co/ypuLd6DJ,"Informative: damage (building, road, lines, etc.)"
433,"names a structure, road, service, line, etc. that is not working or has been damaged",Google Crisis Map links to a great series of maps showing #Sandy power outages. http://t.co/ypuLd6DJ,"Informative: damage (building, road, lines, etc.)"
434,"names a structure, road, service, line, etc. that is not working or has been damaged",Not too much damage at all near me except for this billboard that took a spill. #sandy http://t.co/k4RNyqgx,"Informative: damage (building, road, lines, etc.)"
435,"names a structure, road, service, line, etc. that is not working or has been damaged",Not too much damage at all near me except for this billboard that took a spill. #sandy http://t.co/k4RNyqgx,"Informative: damage (building, road, lines, etc.)"
436,"names a structure, road, service, line, etc. that is not working or has been damaged",Not too much damage at all near me except for this billboard that took a spill. #sandy http://t.co/k4RNyqgx,"Informative: damage (building, road, lines, etc.)"
437,"names a structure, road, service, line, etc. that is not working or has been damaged",Not too much damage at all near me except for this billboard that took a spill. #sandy http://t.co/k4RNyqgx,"Informative: damage (building, road, lines, etc.)"
438,"names a structure, road, service, line, etc. that is not working or has been damaged",Not too much damage at all near me except for this billboard that took a spill. #sandy http://t.co/k4RNyqgx,"Informative: damage (building, road, lines, etc.)"
439,"names a structure, road, service, line, etc. that is not working or has been damaged",Not too much damage at all near me except for this billboard that took a spill. #sandy http://t.co/k4RNyqgx,"Informative: damage (building, road, lines, etc.)"
440,"names a structure, road, service, line, etc. that is not working or has been damaged",#sandy RT @NYScanner: Manhattan: FDNY at the One World Trade Center with a Crane on top of freedom tower broken.,"Informative: damage (building, road, lines, etc.)"
441,"names a structure, road, service, line, etc. that is not working or has been damaged",#sandy RT @NYScanner: Manhattan: FDNY at the One World Trade Center with a Crane on top of freedom tower broken.,"Informative: damage (building, road, lines, etc.)"
442,"names a structure, road, service, line, etc. that is not working or has been damaged",#sandy RT @NYScanner: Manhattan: FDNY at the One World Trade Center with a Crane on top of freedom tower broken.,"Informative: damage (building, road, lines, etc.)"
443,"names a structure, road, service, line, etc. that is not working or has been damaged",#sandy RT @NYScanner: Manhattan: FDNY at the One World Trade Center with a Crane on top of freedom tower broken.,"Informative: damage (building, road, lines, etc.)"
444,"names a structure, road, service, line, etc. that is not working or has been damaged",#sandy RT @NYScanner: Manhattan: FDNY at the One World Trade Center with a Crane on top of freedom tower broken.,"Informative: damage (building, road, lines, etc.)"
445,"names a structure, road, service, line, etc. that is not working or has been damaged",#sandy RT @NYScanner: Manhattan: FDNY at the One World Trade Center with a Crane on top of freedom tower broken.,"Informative: damage (building, road, lines, etc.)"
446,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Flooding & power outages continue to cause blood drive cancellations in areas Sandy impacted. Check http://t.co/wRlbuw6F for open sites,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
447,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Flooding & power outages continue to cause blood drive cancellations in areas Sandy impacted. Check http://t.co/wRlbuw6F for open sites,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
448,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Flooding & power outages continue to cause blood drive cancellations in areas Sandy impacted. Check http://t.co/wRlbuw6F for open sites,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
449,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Flooding & power outages continue to cause blood drive cancellations in areas Sandy impacted. Check http://t.co/wRlbuw6F for open sites,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
450,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Flooding & power outages continue to cause blood drive cancellations in areas Sandy impacted. Check http://t.co/wRlbuw6F for open sites,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
451,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Flooding & power outages continue to cause blood drive cancellations in areas Sandy impacted. Check http://t.co/wRlbuw6F for open sites,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
452,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Flooding & power outages continue to cause blood drive cancellations in areas Sandy impacted. Check http://t.co/wRlbuw6F for open sites,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
453,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Flooding & power outages continue to cause blood drive cancellations in areas Sandy impacted. Check http://t.co/wRlbuw6F for open sites,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
454,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
455,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
456,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
457,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
458,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
459,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
460,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
461,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
462,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
463,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
464,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
465,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
466,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
467,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
468,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
469,"names a structure, road, service, line, etc. that is not working or has been damaged",At least 80 flooded houses destroyed by NYC fire http://t.co/kPMhYSKa via @USATODAY Absolutely horrible. Prayers out to these families.,"Informative: damage (building, road, lines, etc.)"
470,"names a structure, road, service, line, etc. that is not working or has been damaged",Teaneck Police Officer Injured in Sandy Response: A Teaneck police officer at the scene of a transformer fire was... http://t.co/BnwEY42h,"Informative: damage (building, road, lines, etc.)"
471,"names a structure, road, service, line, etc. that is not working or has been damaged",Teaneck Police Officer Injured in Sandy Response: A Teaneck police officer at the scene of a transformer fire was... http://t.co/BnwEY42h,"Informative: damage (building, road, lines, etc.)"
472,"names a structure, road, service, line, etc. that is not working or has been damaged",Teaneck Police Officer Injured in Sandy Response: A Teaneck police officer at the scene of a transformer fire was... http://t.co/BnwEY42h,"Informative: damage (building, road, lines, etc.)"
473,"names a structure, road, service, line, etc. that is not working or has been damaged",Teaneck Police Officer Injured in Sandy Response: A Teaneck police officer at the scene of a transformer fire was... http://t.co/BnwEY42h,"Informative: damage (building, road, lines, etc.)"
474,"names a structure, road, service, line, etc. that is not working or has been damaged",Teaneck Police Officer Injured in Sandy Response: A Teaneck police officer at the scene of a transformer fire was... http://t.co/BnwEY42h,"Informative: damage (building, road, lines, etc.)"
475,"names a structure, road, service, line, etc. that is not working or has been damaged",Teaneck Police Officer Injured in Sandy Response: A Teaneck police officer at the scene of a transformer fire was... http://t.co/BnwEY42h,"Informative: damage (building, road, lines, etc.)"
476,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",10 dollars or volunteer! Let's help our fellow americans. American Red Cross http://t.co/HgrFYpON,"Informative: requests donations of money, goods, or free services"
477,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",10 dollars or volunteer! Let's help our fellow americans. American Red Cross http://t.co/HgrFYpON,"Informative: requests donations of money, goods, or free services"
478,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",10 dollars or volunteer! Let's help our fellow americans. American Red Cross http://t.co/HgrFYpON,"Informative: requests donations of money, goods, or free services"
479,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",10 dollars or volunteer! Let's help our fellow americans. American Red Cross http://t.co/HgrFYpON,"Informative: requests donations of money, goods, or free services"
480,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",10 dollars or volunteer! Let's help our fellow americans. American Red Cross http://t.co/HgrFYpON,"Informative: requests donations of money, goods, or free services"
481,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",10 dollars or volunteer! Let's help our fellow americans. American Red Cross http://t.co/HgrFYpON,"Informative: requests donations of money, goods, or free services"
482,"names a structure, road, service, line, etc. that is not working or has been damaged",MTA chairman: There are 7 subway tunnels that connect Manhattan to Brooklyn & Queens those 7 are flooded #nyc #Sandy,"Informative: damage (building, road, lines, etc.)"
483,"names a structure, road, service, line, etc. that is not working or has been damaged",MTA chairman: There are 7 subway tunnels that connect Manhattan to Brooklyn & Queens those 7 are flooded #nyc #Sandy,"Informative: damage (building, road, lines, etc.)"
484,"names a structure, road, service, line, etc. that is not working or has been damaged",MTA chairman: There are 7 subway tunnels that connect Manhattan to Brooklyn & Queens those 7 are flooded #nyc #Sandy,"Informative: damage (building, road, lines, etc.)"
485,"names a structure, road, service, line, etc. that is not working or has been damaged",MTA chairman: There are 7 subway tunnels that connect Manhattan to Brooklyn & Queens those 7 are flooded #nyc #Sandy,"Informative: damage (building, road, lines, etc.)"
486,"names a structure, road, service, line, etc. that is not working or has been damaged",MTA chairman: There are 7 subway tunnels that connect Manhattan to Brooklyn & Queens those 7 are flooded #nyc #Sandy,"Informative: damage (building, road, lines, etc.)"
487,"names a structure, road, service, line, etc. that is not working or has been damaged",MTA chairman: There are 7 subway tunnels that connect Manhattan to Brooklyn & Queens those 7 are flooded #nyc #Sandy,"Informative: damage (building, road, lines, etc.)"
488,warns about a potential hazard or advices what to do,Hurricane Sandy has caused us to close #Microtropolis for the time being. Stay safe.,Informative: caution or advice
489,warns about a potential hazard or advices what to do,Hurricane Sandy has caused us to close #Microtropolis for the time being. Stay safe.,Informative: caution or advice
490,warns about a potential hazard or advices what to do,Hurricane Sandy has caused us to close #Microtropolis for the time being. Stay safe.,Informative: caution or advice
491,warns about a potential hazard or advices what to do,Hurricane Sandy has caused us to close #Microtropolis for the time being. Stay safe.,Informative: caution or advice
492,warns about a potential hazard or advices what to do,Hurricane Sandy has caused us to close #Microtropolis for the time being. Stay safe.,Informative: caution or advice
493,warns about a potential hazard or advices what to do,Hurricane Sandy has caused us to close #Microtropolis for the time being. Stay safe.,Informative: caution or advice
494,indicates who has (or how many people have) been injured or dead,While focus is on #NYC  remember #Sandy killed 52 in #Haiti and the situation could get worse there http://t.co/5T2fwm91,Informative: casualties (people injured or dead)
495,indicates who has (or how many people have) been injured or dead,While focus is on #NYC  remember #Sandy killed 52 in #Haiti and the situation could get worse there http://t.co/5T2fwm91,Informative: casualties (people injured or dead)
496,indicates who has (or how many people have) been injured or dead,While focus is on #NYC  remember #Sandy killed 52 in #Haiti and the situation could get worse there http://t.co/5T2fwm91,Informative: casualties (people injured or dead)
497,indicates who has (or how many people have) been injured or dead,While focus is on #NYC  remember #Sandy killed 52 in #Haiti and the situation could get worse there http://t.co/5T2fwm91,Informative: casualties (people injured or dead)
498,indicates who has (or how many people have) been injured or dead,While focus is on #NYC  remember #Sandy killed 52 in #Haiti and the situation could get worse there http://t.co/5T2fwm91,Informative: casualties (people injured or dead)
499,indicates who has (or how many people have) been injured or dead,While focus is on #NYC  remember #Sandy killed 52 in #Haiti and the situation could get worse there http://t.co/5T2fwm91,Informative: casualties (people injured or dead)
500,indicates who has (or how many people have) been injured or dead,While focus is on #NYC  remember #Sandy killed 52 in #Haiti and the situation could get worse there http://t.co/5T2fwm91,Informative: casualties (people injured or dead)
501,indicates who has (or how many people have) been injured or dead,While focus is on #NYC  remember #Sandy killed 52 in #Haiti and the situation could get worse there http://t.co/5T2fwm91,Informative: casualties (people injured or dead)
502,indicates what the contents of a photo/video are about,MTA Video Release: Hurricane #Sandy South Ferry/Whitehall St Station Damage http://t.co/gV5AFC7b @mtainsider @adamlisberg #mta,Informative: other type of photos/videos (not in the above classes)
503,indicates what the contents of a photo/video are about,MTA Video Release: Hurricane #Sandy South Ferry/Whitehall St Station Damage http://t.co/gV5AFC7b @mtainsider @adamlisberg #mta,Informative: other type of photos/videos (not in the above classes)
504,indicates what the contents of a photo/video are about,MTA Video Release: Hurricane #Sandy South Ferry/Whitehall St Station Damage http://t.co/gV5AFC7b @mtainsider @adamlisberg #mta,Informative: other type of photos/videos (not in the above classes)
505,indicates what the contents of a photo/video are about,MTA Video Release: Hurricane #Sandy South Ferry/Whitehall St Station Damage http://t.co/gV5AFC7b @mtainsider @adamlisberg #mta,Informative: other type of photos/videos (not in the above classes)
506,indicates what the contents of a photo/video are about,MTA Video Release: Hurricane #Sandy South Ferry/Whitehall St Station Damage http://t.co/gV5AFC7b @mtainsider @adamlisberg #mta,Informative: other type of photos/videos (not in the above classes)
507,indicates what the contents of a photo/video are about,MTA Video Release: Hurricane #Sandy South Ferry/Whitehall St Station Damage http://t.co/gV5AFC7b @mtainsider @adamlisberg #mta,Informative: other type of photos/videos (not in the above classes)
508,indicates what the contents of a photo/video are about,MTA Video Release: Hurricane #Sandy South Ferry/Whitehall St Station Damage http://t.co/gV5AFC7b @mtainsider @adamlisberg #mta,Informative: other type of photos/videos (not in the above classes)
509,indicates what the contents of a photo/video are about,"So basically all the ""OMG!"" Sandy pics getting tweeted over and over are fakes http://t.co/j9NwbSjW",Informative: other type of photos/videos (not in the above classes)
510,indicates what the contents of a photo/video are about,"So basically all the ""OMG!"" Sandy pics getting tweeted over and over are fakes http://t.co/j9NwbSjW",Informative: other type of photos/videos (not in the above classes)
511,indicates what the contents of a photo/video are about,"So basically all the ""OMG!"" Sandy pics getting tweeted over and over are fakes http://t.co/j9NwbSjW",Informative: other type of photos/videos (not in the above classes)
512,indicates what the contents of a photo/video are about,"So basically all the ""OMG!"" Sandy pics getting tweeted over and over are fakes http://t.co/j9NwbSjW",Informative: other type of photos/videos (not in the above classes)
513,indicates what the contents of a photo/video are about,"So basically all the ""OMG!"" Sandy pics getting tweeted over and over are fakes http://t.co/j9NwbSjW",Informative: other type of photos/videos (not in the above classes)
514,indicates what the contents of a photo/video are about,"So basically all the ""OMG!"" Sandy pics getting tweeted over and over are fakes http://t.co/j9NwbSjW",Informative: other type of photos/videos (not in the above classes)
515,"names a structure, road, service, line, etc. that is not working or has been damaged",NYC Crane Collapses on Camera http://t.co/Q3kWk767 #SuperStorm #Sandy #SandyNY,"Informative: damage (building, road, lines, etc.)"
516,"names a structure, road, service, line, etc. that is not working or has been damaged",NYC Crane Collapses on Camera http://t.co/Q3kWk767 #SuperStorm #Sandy #SandyNY,"Informative: damage (building, road, lines, etc.)"
517,"names a structure, road, service, line, etc. that is not working or has been damaged",NYC Crane Collapses on Camera http://t.co/Q3kWk767 #SuperStorm #Sandy #SandyNY,"Informative: damage (building, road, lines, etc.)"
518,"names a structure, road, service, line, etc. that is not working or has been damaged",NYC Crane Collapses on Camera http://t.co/Q3kWk767 #SuperStorm #Sandy #SandyNY,"Informative: damage (building, road, lines, etc.)"
519,"names a structure, road, service, line, etc. that is not working or has been damaged",NYC Crane Collapses on Camera http://t.co/Q3kWk767 #SuperStorm #Sandy #SandyNY,"Informative: damage (building, road, lines, etc.)"
520,"names a structure, road, service, line, etc. that is not working or has been damaged",NYC Crane Collapses on Camera http://t.co/Q3kWk767 #SuperStorm #Sandy #SandyNY,"Informative: damage (building, road, lines, etc.)"
521,"names a structure, road, service, line, etc. that is not working or has been damaged",NYC Crane Collapses on Camera http://t.co/Q3kWk767 #SuperStorm #Sandy #SandyNY,"Informative: damage (building, road, lines, etc.)"
522,indicates what the contents of a photo/video are about,#Sandy Terrifying photos of SandyÃ¤Ã³Â»s aftermath uploaded in social media by victims http://t.co/T9dQEP94 via @LinkedGeekMedia,Informative: other type of photos/videos (not in the above classes)
