,the_author_of_the_tweet_seems_to_be_an_eye_witness_of_the_event,tweet_no_rt,user
497,,Ã¤Ã³Ã¬@hurricannesandy: R.I.P to the 65 victims who lost their lives because of Hurricane Sandy. RT for respect &lt;3Ã¤Ã³Â,prettyneaa
498,,Hurricane Sandy.... 2012....it all makes sense.... We're gunna die Ã“ÂÃ§Ã“ÂÃ§,_tayl0rb
499,,@ElUniversal: HuracÃ­Ã§n Sandy azota con fuerza costa Este de Estados Unidos http://t.co/zQ9b1i7v #EUTitulares,kemteran26
500,,The #hurricane should of been named Snooki - she blew the entire east coast but f*cked everyone in Jersey & NYC #sandy #jerseyshore #mtv,_showah
501,,I want to volunteer to help the hurricane Sandy victims. If anyone knows how I can get involved please let me know!,cathsquillace
502,,Landfall: Why New York City Could Get the Worst of SandyÃ¤Ã³Â»s Wrath http://t.co/Po1iXgaw via @TIME,KimLAbernethy
503,,#SANDY RT @nytimes: 4 East River bridges closing 7PM #NYC & regional bridge & road closures http://t.co/gqRtGZFk,JewelNature
504,,Le saviez-vous ? Aux Etats-Unis la vitesse est limitÃ­Â©e Ã­Ã¦ Sandy sur autoroute.,Karmen_MiKaDo
505,True,Our turn ottawa #sandy http://t.co/Ra8qiVwC,chantiii5
506,,I think #sandy is messing with my phone signal. I can't watch Netflix for shit _Ã´Â»Â,AnaisYlenia
507,,In the year 2200 New York City will be as flooded as it was during Hurricane Sandy all the time. http://t.co/La3N0ESm,Burtchen
508,,Is there lightning out side??? I don't hear thunder. #Hurricane Sandy,sirkazm
509,,@CitizenTVNews @WillisRaburu I see you caught some two sheep swept by #sandy,Scofski
510,,#ihq This is semi f'n retarded http://t.co/RbWj19AN,MaggieFisher15
511,,Oh my gosh. Praying for my family and everyone else in NYC #sandy,oksanatymkiv
512,,@therealjoelupo dude stay safe with hurricane sandy.,thecraiglister
513,,Tribeca power gone #nyc #sandy Sole lights a cop car http://t.co/RwsBbhuG,AllaBochkovskay
514,,Surviving Sandy http://t.co/Hn2xVM43,Roll_Ty
515,,Tiburones en el metro de New Jersey por el Huracan #Sandy http://t.co/LMxKbv2Z,Lour28Molina
516,True,A look at the damage that was caused by #Sandy http://t.co/Fz0jLNsL SLIDE SHOW,MarketWatch
517,,No quiero ser ruda y entiendo q #Sandy acabo en NY... PERO a NJ le fue peor. Los noticieros estan enfocando su cobertura en NY solamente!,I_heart_DR
518,,@catchdini hey Nick are you well? Cause Sandy I will arrive in nyc on friday. Hope u and fool's gold crew are good. Deya,HiLoTunez
519,,"DIS BITCH WAS LIKE ""I'M DYING AT HURRICANE SANDY TWEETS"" AND I'M LIKE YOU ABOUT TO BE DYIN IN REAL LIFE HOE.",youreawesome_
520,True,NYC firefighters look up at a collapsed crane dangling from a building | http://t.co/8abQk4SC #Sandy,ABZEN
521,,When all else fails || #hurricane #snapseed #sandy #nyc #one57 #newyorkcity #brooklyn @ Central Park West http://t.co/1JaqDiPW,GerryPadden
522,,Sandy paso por mi pieza la semana pasada. #Mmmhmmmm,b0ssapplesauce
523,,#paraherÂÃ´eymi Completely don't comprehend this kind of. http://t.co/qUysiyiL,SharleneRoth1
524,,Apparently I need to stock up on groceries & get a thunder buddy cause hurricane Sandy is real!,aLittleRisque
525,,What a humbling image. Here's the soldiers guarding the Tomb of the Unknown Soldier during Hurricane Sandy. #powerful http://t.co/Pel2kI5q,_FurNurniaaa
526,,Shocking water level @ Path Station in downtown NYC. All this water stretching back about 5 mi to NJ. #Sandy http://t.co/VHGb4KDz,RickMontanez
527,,Brilliant information design from the #nytimes: all damage from #sandy in graphics. http://t.co/asjaS4DN,marijerr
528,,Sandy ain't do shit and I gotta go to work today...... #THEFUCK http://t.co/3UOfNpRc,C_h_a_n_t_e
529,True,We're back baby! Feeling such #pride for our team that has come together to help each other & customers through Hurricane #sandy. Thank you!,Livestream
530,,@biebermcfadden lol stupid Sandy -.-,yea_imcrazy2000
531,,MTA Restoring some NYC bus svc 5p tonite. Subways less definite will come back in pieces. MTA great job. Keeping bustrains dry #sandy,markhillary
532,,Hospitals battled to protect patients as Sandy raged http://t.co/SgxK2Vtq via @YahooNews,HighRoadsHR
533,,Obama in Situation Room for #Sandy. Similar photo for #Benghazi unavailable. http://t.co/hQwx4sIj,_HughBris
534,,#nyc Omg! * this is I dislike men http://t.co/ElBxBPyt,BerylNolan10
535,,Is hurricane Sandy the start of the 2012 thing :o,AndyM993
536,,Latest figure from Con Ed: 509000 NYC customers without power roughly 17% of total customers in city. #Sandy,jacobgershman
537,,SANDY: 108 storm related deaths; 40 in USA 67 in Caribbean 1 in Canada #CNN,Gilespies
538,,"Reminder: Donate to the Red Cross ""Wherever The Need Is Greatest"" http://t.co/IInlVGzt #sandy #nyc #NJ",TheSarahBiz
539,True,With NYSE opening bell Wall Street reopens after Sandy http://t.co/TpGFM6U7,Sade_Michelle
540,True,Police closed down my street I can't see what's happening though. It's sooo windy and unsafe outside. #Sandy #SandyNY http://t.co/NOsi4pur,Muhamadkaram
541,,#Sandy update: About 5.9 million customers without power in 15 states and Washington DC @CNN reports http://t.co/RfpxW9hZ,nikkiibarra
542,,Hurricane Sandy casualty #westside #amsterdam #NYC @RichDaley @rspserge @ToriFlavour @THEREALNYCHE http://t.co/VT4h4TRJ,Dooby000
543,,#Sandy has impact #inBend #Oregon ~ @VisitCentralOR web host server located @111 8th Avenue NYC - server & site down. http://t.co/Drzrh42n,VisitCentralOR
544,,Some genuine NJ resiliency #sandy #newjersey http://t.co/rIkjtpXC,shklepesch
545,,Call us 24/7 at 888-708-5013 for emergency and shelter supplies - Hurricane #Sandy http://t.co/sA0rfK2k,BobBarkerCo
546,,"Cranked the National Anthem and climbed on my roof. Pointed to the sky crotch chopped and yelled ""Suck it Sandy. These colors don't run.""",C_Banis711
547,,Giants make schedule adjustments with Hurricane Sandy looming: By Jorge Castillo/The Star-Led... http://t.co/2LPgOdUH #nyg #giants #gmen,ALLNYG1
548,,Storm Sandy cancels flights to US - http://t.co/4TzBcxV6,TheNewsGlobe
549,,Breaking: Sandy Barrels Toward New Jersey Coast http://t.co/K6rXyx8A #hurricanesandy,DivineMoments
550,,NYC cabs after Sandy..... http://t.co/uvrfORwg,DaveRHicks
551,,NYC Mayor Bloomberg is offering an update on the city's response to #Sandy. You can tune in here: http://t.co/QWZpbEhv,MarketWatch
552,True,Mayor Bloomberg: The 76 shelters we opened will remain open today. #Sandy #NYC,VersedAnggerik
553,,#Amen RT @eccentrixbreeze I pray that Sandy decides to chill before she does anymore damage.,Horus_Xero
554,,#Canarias empieza a vivir su #Sandy particular #LittleSandy,MrPepitosb
555,,#sandy please be nice to all my loved ones in #nyc,itsme2la
556,,A gente dando forÃ­_a pros estados unidos e uma americana idiota falando que quem merecia o Sandy era a gente,PotatosOf_Niall
557,,46 miles of track in the NYC subway system are underwater (via @ChrisCuomo) #Sandy,KendallHerold
558,True,Video from flooded NYC: East 8th Street and Avenue C before the blackout #sandy http://t.co/jwJN6xdZ,lalugali
559,,Sharks popping up in New Jersey Streets... #Sandy http://t.co/swLbiYP2,FlorentGiraud
560,,@NorthernMNer yep. and this: http://t.co/z9SvAqB1 i need never purchase from anyone that did a Sandy promotion/sale.,snipy
561,,#SANDY osama roaring from sea at US,tilokar
562,,#followback May an individual assist me fix This specific http://t.co/ojgWGpnt,SophieVega11
563,,Just spent a good 15 minutes staring at pictures from NJ and NYC. #holymoly #sandy,katie_collins
564,,guys we wrote the flood about hurricane sandy which also means yes WE CAN SEE THE FUTURE,brittneyvanpelt
565,,@JoshDevineDrums Be safe guys!! #Sandy #NYC #besafe,AlexaRogers16
566,,Breeze point got destroyed #Sandy,Mr_GQVuitton
567,,Six-alarm blaze rips through 50 houses in Queens NY as #Sandy batters East Coast http://t.co/V1v0RBSY,WNYT
568,,#iÃ£Ã³_Âµ_______Âµ___Ã‡Ã£Â€Ã£_ If perhaps sexual intercourse ended up being as good as this specific http://t.co/YusPpyEh,JannieMacdonal9
569,True,Cleaning up riverside park. The whole bike path was submerged last night! #sandy #aftermath http://t.co/pQyAKKHm,Isaac_NYC
570,,Bad news for NYC gays this summer -&gt; LATEST UPDATE: Sandy Devastates Fire Island :: EDGE on the Net via @edgeonthenet,dannation
571,,El huracÃ­Ã§n #Sandy pasa por EEUU y sale en todos los medios ÂŒÃ‹Alguien sabÃ­_a que antes habÃ­_a pasado por HaitÃ­_ y por Cuba? Eso no lo cuentan...,Kandel_
572,,To all those in the path stay strong. To all those helping those in the path thank you. #Sandy,elegantruin
573,,All Of These Cars & Boats Were Destroyed By Sandy: In its voyage up the Atlanti... http://t.co/frjUty7h #Philippines,ryzuriel
574,,SANDY DID NOT ONLY AFFECT NYC PEOPLE. Gosh...,DenebBellatrix
575,,"People saying Sandy was """"soft"""" need to appreciate the little things in life. Like how it's free taco day at taco bell. Like that.",JonSantorbro
576,,"The last time I got screwed by a Sandy this bad was when I bought tickets to ""The Blind Side.""",summerr26
577,,Instagram photos show Sandy's drenching path http://t.co/udnDw8sI,optimismnow
578,,Wow look at this crane collapse on top of One57 -- new building as tall as Empire State Building on Central Park South http://t.co/Z5fkkSbA,Ben_Duronio
579,,I WILL BE SO HAPPY IF WE DON'T HAVE SCHOOL TOMORROW. Sandy help us out,MostDopeex3
580,,@WheresAndrew Are u looking forward to getting home? Hope ur place is safely out of any danger from #Sandy now that would be an #adventure!,ZAmmi
581,,In case you missed it: Hurricane Sandy: why have the British media ignored Caribbean victims? http://t.co/OvWE7FkJ,MarquiRayshel
582,,The pictures I've seen from NYC and the Jersey Shore are just devastating. Thinking of you guys :-( #sandy,iaskedalice
583,,Sandy from the International Space Station http://t.co/1r9ouFDr Looks pretty intense from underneath right now too I can tell you. HT @FQXi,kathrynschulz
584,,Space Shuttle Enterprise Damaged by Superstorm Sandy [PICS] - http://t.co/Uo03RRD8,PRCog
585,True,A Tour Of the Hurricane #Sandy Damage On New York's Upper West Side http://t.co/GcRUsNNO via @businessinsider #NYC,SKSMediaMoscow
586,,10 fotos falsas del huracÃ­Ã§n #Sandy http://t.co/oSCdYAP0,orlandoignacio
587,,TID Inno Update Mashable Media Summit Rescheduled Due to Hurricane Sandy http://t.co/hQ60zjTj,the_inno_daily
588,,@NathanFillion Your #sandy joke tweet posted right before another tweet about the NYC crane collapsing. Well done.,rhcanning
589,,Regeerakkoord Sandy... Ik ga gewoon de was doen. #maandagavond,susandocters
590,,AFP: President Obama declares 'major disaster' in New York after storm #Sandy,Laura_x93x
591,True,Hope everyone is doing ok with the storm. Saw #Sandy on our flight path yesterday. From our vantage point #ISS  http://t.co/KFxXl90c,ashleyjsmills
592,,@usimmigration0 Rats...Huffpo server is down again. Sandy is a bitch.,pudcast245
593,,630-1030 PM will be the worst of the storm in NYC says Bloomberg #nyc #sandy,Kenosen2
594,,A transplant patient's nerve-racking evacuation from the NYU hospital: http://t.co/8KSqM9tT,anash
595,,@RealDonaldTrump holding your relief donation for the victims of #Sandy hostage. #Classy!,JANDREWS2013
596,,JÃ­Â©jeje huracÃ­Ã§n Sandy  chinguense pÃ­_tos ahora a quien le van a echar la culpa pinches come hamburguesas,Lrofocale
597,,The University of Maryland College Park will be closed tomorrow Tuesday due to Hurricane Sandy. Stay safe and look out for each other.,EmRo91
598,True,Sandy and no power out! #HighFive,ExcuseMyFacade
599,,Hurricane Katrina Hurricane Irene Hurricane Sandy.. WHAT HAPPENED TO HURRICANE CHRIS? AYE BAY BAY,_JerseyMaade
600,,@ItsJillJensen Also I visit NYC often so if there's a show of yours there I'll have an excuse to go _Ã´Ã–Ã– my heart breaks 4 it cause of Sandy,JillianLuvPsych
601,True,#Hurricane #Sandy may have flooded the East Coast taken down trees and killed power but HeyWire was up and running strong!,GoHeyWire
602,,Alucinante tiburones en el metro de NYC #sandy http://t.co/aR4it6Gt,NachoRCDE1900
603,,If in immediate need of shelter please visit http://t.co/Pgxt83by to locate your nearest options. #shelter #Sandy,fionamcbride
604,,for hurricane Sandy...jajajajajajaj http://t.co/4cRYcBCu,pichiie_04
605,,My work van feels like its blowing away... #sandy,IndiGomie
606,,Hurricane sandy please cancel classes,brookemd_xo
607,,"I Still Ain't Going to School tomorrow! &gt; RT""""@NYGovCuomo: CORRECTION: Subways will be starting tomorrow morning not 2PM today #sandy""""",JabariAmir_
608,,There will be a Star Wars 7. And people thought Hurricane Sandy was going to be the biggest disaster announced this week.,ktoma
609,,Essa semana estou me sentindo a maior hipster [da depressÃ­Â£o] com esse apelido internÃ­Â©rdico e enunciador de cataclismas [desde 2006].,sandy_ventania
610,,Wonder is charter school got schhol tomarrow ? i hope sandy come again  lol.,CasheFWAB
611,,Enviamos los mejores deseos a todos aquellos que se encuentran en Ã­Ã§reas afectadas por el huracÃ­Ã§n #Sandy.,Unidosenred
612,,TingooKIDS: http://t.co/KWTAnlwu The Wire: Superstorm Sandy's trail of destruction; NYC strangely quiet ... - San Jo... http://t.co/DDirZaYJ,kathlyn1026
613,,Video: Aerial view of Seaside Heights New Jersey coastline after Hurricane Sandy - TheNationalGuard on YouTube http://t.co/cgAY0ka5,Margarita890
614,,Harrisonburg Schools closed tomorrow #Sandy #WHSV,alanpineda11
615,True,Holed up in a #NYC bar Australian honeymooners Simon (@getoutsideau) and Simone Pollard wait out #Sandy http://t.co/pVKb4HTK #staysafe!,smh
616,,THE POWER JUST FLICKERED. NO. DAMN YOU SANDY,braidme
617,,That hurricane sandy parody account Is so stupid,nicholasanth_
618,True,Weathering the storm. Reporting from the Hudson River as Sandy approaches. #nyc #sandy #cuj13 http://t.co/RhSFNOad,JasonDuaine
619,,hope my friend gets home from america safely with Sandy there :(,NyTrophyBoy
620,True,We all saw what #Sandy looked like on the ground. Here's what she looked like from space: http://t.co/LmhEk20x via @jaketapper,Marissa_Jae
621,,Did a follow up with bbc radio merseyside today at 5.02pm brit trapped in nyc #sandy http://t.co/kVdjAN1d,Sensini
622,,UPDATE: Hurricane Sandy advances on U.S. coastal cities faster than expected http://t.co/mEh6Sicr,lmckimm
623,,Mashable Media Summit Rescheduled Due to Hurricane Sandy: We have all seen over the past few days that Hurrica... http://t.co/fWDyZfDU,WebTech_update
624,,CÃ­Ã§mara en vivo . NYC esperando a #Sandy http://t.co/kakO6NDD,codeskeys
625,,"The tomb of the unknown soldier being guarded during Sandy. #respect http://t.co/OsCqiRSc""",bmorgan26
626,,NYC Entrepreneurs Stand Up to Hurricane Sandy - From local businesses to tech startups a look at the creative ways ... http://t.co/HD1Eo9W6,nrg_funk009
627,,Stay strong New York. #Sandy #NYC http://t.co/MEniXehO,Amaiia10
628,,#Sandy clearly the worst natural disaster in NJ history...NYC as well. Total damage probably in tens of billions.,D_Callahan_
629,,In fact I'm calling it Hurricane Mom from here on out. #Sandy #HurricaneSong #HurricaneMom,jamesharrisongs
630,True,MT @NYGovCuomo: Entrance to Battery Park flooded NYC DOT truck seen submerged http://t.co/90TS0xac #Sandy,LizSmalls
631,,@ThePoke Hurricane Sandy's early warning system http://t.co/AHYfsNmc,fabqueenie
632,,Hilarious! MT @EtepKcalb: NYC floods. Care to guess which burough is depicted in this photo? #Sandy http://t.co/ptS1Emup,petitedov
633,,Red Cross asking for anyone who can -donate blood across America 3000 units short. Also can text dono 'Red Cross' to 90999 #Sandy,BostonFanJosh
634,,"_Ã´Ã–Â± RT @KariVanHorn: OH.MY.WOW. """"@davidortiz: God take over this... http://t.co/qgo4Z6xp"""" #Sandy",Kanguro30
635,,Hospitals battled to protect patients as Sandy raged: NEW YORK (Reuters) - At one New York hospital where backup... http://t.co/bhvcsRcC,AllHealthInfo
636,,Sandy is a real bitch-,QueenJForever
637,True,Route 16 closed between Natick and Wellesley College as Hurricane Sandy pummels the region. - http://t.co/uE2FvYUS #bosandy @BostonDotCom,lesliejanderson
638,,Wow. Hope everyone is safe. The damage looks serious Ã¤Ã³Ã¬@MrRich: Hurricane Sandy wreaking havoc on NYC landmark. http://t.co/EvegpA0OÃ¤Ã³Â,peterschloss
639,,Ok this hurricane sandy tweets are done . Not funny anymore -.-,BossinnLikeMee
640,,I wish Hurricane Sandy would pick up Obama and Romney and maybe Wall Street and dump them on that giant pile of trash in the Pacific Ocean.,billrosethorn
641,True,Safe & sound in #Bronx no damage still have power (so far). Catching up with news of #Sandy effects on devastated NYC,JanetPhD
642,,@ObiAkumazi my guy we get hurricane sandy. she dey scatter my window for here.,MhomoKadiri
643,,Thankful we live on the UES #nyc #sandy,NVOSF
644,True,#NYC sewers + old subway tunnels filled with pink sludge: http://t.co/grdA49W9 - #sandy,a_w_young
645,True,@Real_Liam_Payne I'm sitting in the dark tweeting you! Hurricane sandy would want you to follow me!,jenniferleigh96
646,,Screw hurricane sandy delaying my packages and shit,Dwight_Eisen
647,,Hurricane #sandy on its way to NYC @Banjo http://t.co/Q8oJu6x5,banjo
648,,"This is awesome. If only I had it before #Sandy - """"7 Healthy Home Office Yoga Poses"""" http://t.co/FxEYbeJ6",mmcdonley
649,,Donnie Wahlberg & Celebs Tweet Hurricane Sandy Destruction http://t.co/SU8zxsqP,beritadotcom
650,,Too bad Feds don't have green Solyndra type money to help victims of Sandy.,lessgovnow
651,,Mayor Bloomberg will update New Yorkers on #Sandy at 10 AM. Will be live on http://t.co/wl7rGW1H.,PurpleAuraJewel
652,,WHY IS MAH NAME SANDY THO??? I'M NOT DAT LESBIAN SQUIRREL FROM SPONGEBOB.,UR_Ma_Luv
653,,Mayor Bloomberg: Public transportation will likely remain closed tomorrow #Sandy #NYC,RezRezart
654,,All NYU dorms will be required to evacuate by 3pm tomorrow...oy vey...attempting to get to my grandparents place in BK 2mrw morning #sandy,web_jojo
655,,We live in a very advance tech world but we still can't figure out the traffic light system. #sad almost as sad as #sandy,Jwann4
656,,Hurricane Sandy Splits Energy Markets As Gasoline Spikes On Refinery Outages http://t.co/g9E2ejtP #business,hellenharris2
657,,Even TRYING to be compassionate total morality #fail. 50+ dead in Haiti alone #UnworthyVictims http://t.co/wi25a0rX http://t.co/HMLjiiXD,HeartPowered
658,,Important. NYC bridges are NOT open to general traffic only to drivers with city ID: Firefighters paramedics etc. @WNYC #sandy,JeanHaines
659,,Venus=love/money Uranus=unpredictability. Sudden impulse to relate or spend. Or sudden expenditures come up. Hmm some b/c of #sandy,ViktoriAstro
660,,RUSH: ThereÃ¤Ã³Â»s Nothing Obama Can Do to Postpone Election - Hurricane Sandy - Fox Nation http://t.co/Z75iAUXp,CrumpledTees
661,,The Snowshoe Mtn. Resort in W. Va. sent this photo of #Sandy snow: 19 inches so far. Maybe 2 feet more still to come. http://t.co/X1gOHS5L,CarrieEdmonson
662,,Colorlines: Who's Going to Fix NYC Subways After Hurricane Sandy? Blacks and Latinos http://t.co/Uwuud0m3- great article to read re: #sandy,VidaVozVerdad
663,,Superstorm Sandy wrecks havoc across US East Coast death toll... - http://t.co/K1H2Jcug - #NewYorkCity #Tragedy,allnewyorknews
664,True,Sandy blew me yesterday cuz cuz of her Kaiser cancelled my appointment to find out Mookie gender,OnlyOne_Rain
665,,InternetÃ¤Ã³Â»s working but really slow. Is this Sandy-related?,mervynwarren
666,,@JonathanRKnight Ã¤Ã³Ã¬@BBCBreaking: Crane hanging beside skyscraper in NYC as Hurricane #Sandy approaches - PICTURE http://t.co/PdnrFyBoÃ¤Ã³Â,Cuttersftbll
667,,@Schaserr SUZIE TOO SMALL FOR SANDY,Schaserr
668,True,Don't care how spoiled I sound MY YACHT CLUB IS UNDERWATER AND IM FUCKING FREAKING OUT. If Sandy was a girl I'd beat the shit out of her,clammy1
669,,Not long until God goes bobbing for the Big Apple. #Sandy,LewisMatthews1
670,,"RT jajaja @GokuMeme """"Eleve mucho mi ki y cree el huracÃ­Ã§n Sandy sorry New York.""""",Queonda_gohan
671,True,Oh my #sandy #NYC http://t.co/S1UxiqOC,drazz3
672,True,Befriending Sandy @atreagan http://t.co/1k4p053z,nickyrian
673,True,sandy is doing work outside #makeitnasty,morrgan_nicole
674,,Travel Alerts: Hurricane Sandy Travel Update. Monday Oct. 29 2012 Ã¤Ã³Ã± 6:00pm PDT Trafalgar is c... http://t.co/Pwl728RX @CruiseWithBruce,Travel_N_Cruise
675,,Sandy better take a break on halloween I want candy ..,Banbait_xo
676,,Its officially starting to look like Ghostbusters outside #nyc #sandy,jimmydepaul
677,,#Sandy http://t.co/CNi1EqA5,_ThatKiidZander
678,,Tune in for latest on #crane collapse at 515pmET when I join @wolfblitzer in the @CNNSitRoom @CNN #sandy,IvoryWoodpecker
679,,"Bush's FEMA director Michael Brown criticizes Obama for responding to Sandy too ""quickly"" http://t.co/Bf1pZ67m #nottheonion",viandebaiser
680,,VÃ­_a fb dont wait till is to late plz convince the elderly check the ill warn the rest this is #AtlanticCity #Sandy http://t.co/nLOUWrvD,CydmaRadio
681,,These hurricane sandy tweets getting me weak,riahdawson
682,,Sandy sputters over Pennsylvania: Millions are without power towns are sloshing in floodwaters mass transit is... http://t.co/B83wzaou,killed_cupid12
683,,Holy shit... #sandy RT @RoseRambles Amazeballs pic of Sandy coming into NYC. #frankenstorm http://t.co/yltOP7sQ,kaitiecg
684,,Double Rainbow Shines in NYC After Superstorm Sandy: And after the storm a rainbow. A double rainbow actuall... http://t.co/50pLS5aZ,oh_ibmb
685,,these hurricane sandy tweets are funny ..,Ayee_Smalls
686,,Sandy sÃ­_lo quiere un Danny Zuko que la quiera.,AzaharaPower
687,,House off foundation due to storm surge on Row Carpenter Beach in Charlestown RI. #RIwx #stormsurge #sandy http://t.co/VUgTK7EZ,ChristopherBLV
688,,Sandy & NYC http://t.co/kpXTPRWP (RT @killermince) #frankenstorm @robynmcilwain @KateMcIlwain12 @clairemcilwain,KeithMcilwain
689,,Mayor: @NYC_Buildings is inspecting the crane on 57th Street and other buildings that may have been impacted by #Sandy,portermason
690,,In the wake of #sandy @ Magoon Park http://t.co/qKbVukEz,YNowailaty
691,,The nyc financial district has been a disaster long before #Sandy,kenpstack
692,,@Real_Liam_Payne FOLLOW ME LIAM BEFORE I DIE BC HURRICANE SANDY xx90,tomlinope
693,,Latest image from New York before #sandy hits: http://t.co/E7P9zyfv &lt;Hahahahaha!,clareyh
694,,I feel like hurricane sandy is just oging to give everyone a reason to say the world is ending in december,SpencNew1756
695,,Heeft #Sandy Nederland soms bereikt?,1996Annemarie
696,,Oh #Sandy....,gOb_geo
697,,Hurricane Sandy don't want none. This is Merica we ain't scared.,Oliverclosehof
698,,A time-lapse of the New York City sky during #Sandy. WATCH: http://t.co/0OX5cPzU /via @TheAtlantic @cubfancurt,Shy_Mogwai
699,,My thoughts and prayers are with everybody on the East coast affected by Hurricane #Sandy. Be safe people!,ChillWitMeHope
700,,Our most pressing need at this time is for volunteers at multiple locations. See http://t.co/JKN50gQl for details,brianmoll
701,,I know she's done some damage and hurt some people but I am in love with Sandy Frankenstorm. She got me out of jury duty this morning.,vincedorse
702,,Late Night with Jimmy Fallon Hurricane Sandy Cold Open + Monologue: http://t.co/XhJF8bKx via @youtube LOL!!!!!!!,LittleKnuck
703,,C supone q deberÃ­_a estar en NYC en estos momentos y x azahares del destino voy camino a Santiago. X algo pasan las cosas me salve de Sandy,Dulce_Martin
704,,FuracÃ­Â£o Sandy diz que sÃ­_ apareceu porque no outono Ã­Â© sempre igual as folhas caem no quintal e quis dar uma mudada,milepsi
705,,Red Cross tells us grateful for Romney donation but prefer people send money or donate blood dont collect goods NOT best way to help #Sandy,hszaiger
706,,This is f'n cute http://t.co/I1r4Ux1m,GladysSnow8
707,,Latest image from New York before #Sandy hits..... wait where is... Oh! http://t.co/lKdZxbQT,aidanosullivan
708,,Ã¤Ã³Ã¬@pilurubio: Efectivamente ya estÃ­Ã§n todos listos en NYC para la llegada del HuracÃ­Ã§n #Sandy . ExpectaciÃ­_n mÃ­Ã§xima. http://t.co/7YhzmV2xÃ¤Ã³Â,lereleLeire
709,,hope everyone is safe from hurricane sandy! &lt;3,MummyDalAlex
710,,MSNBCRidicules Romney 4 Collecting Food & Supplies 4 SandyVictims | http://t.co/dPhlhcGE http://t.co/4mmwGlTP more sheer nastiness from left,dennygirltwo
711,,OH: Hurricane Sandy is Nature's way of punishing all of the crimes committed against it in the East. [Ed. Um yeah okÃ¤Ã³_],be_seeing_you
712,,Ã¤Ã³Ã¬@jonnyschulman22: @Briattanasio anythings possible with sandyÃ¤Ã³Â,oliviabaumann2
713,True,"MTA: ""Worse than worst case"" RT @urbandata: All Seven NYC Subway Tunnels Are Flooded: @TransportNation http://t.co/dYXYy7cC #Sandy #transit",ginasue
714,,To help those affected by Hurricane Sandy: Text REDCROSS to 90999 to give $10 or visit http://t.co/7eaxdkMb,quackswan
715,,REAL GOONS GO TO THE STORE DURING SANDY!!!! http://t.co/PtxlBwZY,BipolarBooty
716,,Thank you sandy for ruining NYC I def was looking forward to my shopping trip!,ACEsoExquisite
717,,"If you were impacted by Hurricane #Sandy let friends and family know you're ""safe & well"" by registering here: http://t.co/jkuLLjWj",trt1197
718,,Dubbele regenboog boven NYC na #Sandy... http://t.co/yvhfPD7d,TonkevandenBerg
719,,Sandy la ha acojonado http://t.co/yCAvi8P6,PimPamCarlos
720,,Really interesting guide of real vs. fake Hurricane Sandy Twitter photos from The Atlantic: http://t.co/yGBs2L9C,Weechagirl
721,,AMAZING PHOTO: Even a hurricane won't keep the honor guard from the Tomb of the Unknown Soldier this morning. #Sandy http://t.co/b015BHhw,dimahabs
722,,#Sandy http://t.co/dKrKw3Q9,CANETRINA
723,,Um PaÃ­_s sobreviver ao furacÃ­Â£o Sandy Ã­Â© fÃ­Ã§cil. Quero ver sobreviver a colonizaÃ­_Ã­Â£o portuguesa.,carolinatonini
724,,Everyone follow and retweet! Later I will show yall a way to donate $1 for those affected by the hurricane. God bless,Sandy_Recovery
725,,Sandy versus Katrina and Irene: Monster Hurricanes by the Numbers http://t.co/F4s4QKCU,wisDPIscience
726,True,Sandy activity list: 1.Po Up 2.Headshot 3.Sit down 4.Stand up 5.Pass out 6.Wake up Faded.,Paul_McGee
727,,Wow heel Jersey Shore is gewoon weg. Boardwalk volledig ingezakt kermis en al. #sandy #vettig,JentaSarabia
728,,How to help those affected by #Sandy - http://t.co/GkTAqpVG,brhomabdullah98
729,,Obama cancels campaign stops due to #Sandy but goes to Vegas the day after a terror attack on 9/11 kills Americans. #7HoursOfHell @romniac,I_laugh_alot
730,,MTA: In 108 Years The NYC Subway System Has Never Faced A Disaster As Devastating As This | http://t.co/PXsA4MdU #Sandy,MansiiShah
731,,@Real_Liam_Payne You should follow me just in case I die in Hurricane Sandy tonight. &lt;3,reilly_xoxo
732,,Ã¤Ã³Ã®LlegÃ­_ el HuracÃ­Ã§n Sandy a Nueva York. Ã¤Ã³Ã®ÂŒÃ‹El HuracÃ­Ã§n SandÃ­_a? Ã¤Ã³Ã®No Sandy. Ã¤Ã³Ã®No me llamo Sandy. Ã¤Ã³Ã®ÂŒÃ§HuracÃ­Ã§n Sandy amigo! Ã¤Ã³Ã®ÂŒÃ‹HuracÃ­Ã§n SandÃ­_a? Ã¤Ã³Ã®ÂŒÃ§ÂŒÃ§NO!!,Lateral_14
733,,NJ shelter count at 6329 and 49 pets according to OEM. Largest numbers in Middlesex and Morris #sandy,KPRCmboyle
734,,Message to New York City employees re work today: http://t.co/hLQ0mgFy #Sandy,FodOvah
735,,nickstudmuffin: Nick Jonas and Joe Jonas out in NYC after Sandy x http://t.co/Dl5i68Qx,weddingbells_JB
736,,Hurricane Sandy ain't got shit on NYC !!!,macruz2000_cruz
737,True,Fleeing East Village to take up camp at a friend's place in midtown. Insanity last night: explosions flooding uprooted trees.Yikes #Sandy,af
738,,Apple Maps and Sandy - http://t.co/8bN2uRbi #9gagtweets,isabellle____
739,,@NBCJodi Hey girlie! Just sent you a #Sandy related email.,MsCyndiM
