,type_of_message,category,text,screenname
186,Look at this web site/page,Information source," @ALsocme:  @AlabamaBloggers: Recommended Events, incl. @ALsocme Family Event & Tornado Relief Train Ride: http://bit.ly/iH2mCR",SSFireworks
187,Look at this video or these videos,Information source,PETRIFYING video reportedly captures screams & prayers of pple riding out #Joplin #tornado in #fastrip convenience store: http://ow.ly/50AFH,MorningExp
188,Look at this web site/page,Information source,Mass. towns give thanks tornado toll wasn't worse http://apne.ws/k47gdi,TwittahUsah
189,Look at this web site/page,Information source,Obama | President | Tornado | Barack | Missouri - http://thenewsportal.net/?p=962817 #news,TheNewsPortal
190,Look at this web site/page,Information source,Great first-hand acct of the #Joplin #tornado by an ER doc on duty at St John's: http://t.co/VR1rUsp,pinkpicketfence
191,Look at this web site/page,Information source,Hells yeah. @merebenfield A circus traveling thru #Joplin stopped & let their elephants help move heavy debris! http://t.co/mRDu9yT,IllegalShift
192,Look at this video or these videos,Information source,Celebrity: Video: Most Dramatic Tornado Videos of the Week http://www.celebrity-tabu.com/video-most-dramatic-tornado-videos-of-the-week,celebritytabu
193,Look at this web site/page,Information source, @vhernandezcnn: Once again Social Media plays a huge role in disaster reporting: http://bit.ly/lnpVVY  /via @fastcompany #joplin #tor ...,tbschrisbrown
194,Look at this web site/page,Information source,"Back from Europe, Obama turns to the rubble and heartache of tornado-ravaged Missouri http://bit.ly/lUhLsy #politics #news",PublikunCZAR
195,Look at this video or these videos,Information source,WATCH: Raw Video Of Springfield Tornado  via @huffingtonpost,brightnsunny
196,Look at this web site/page,Information source,Minneapolis Licensing Gestapo Fine a Local Tree Trimmer $275 for Volunteering After a Tornado: A tornado tore th... http://bit.ly/iZixnz,pudding_rice
197,Look at this web site/page,Information source,Don't think people in NY could handle a tornado.  @Newsweek: Tornado warning in #NYC. Is this the new normal?! http://bit.ly/kKNxQT,mpaigeowen
198,Look at this video or these videos,Information source,Click for links to local YouTube videos of yesterday's tornado http://fb.me/11kvmvZI1,WRCHPD
199,Look at this web site/page,Information source, @USArmy: Guardsman helps rescue tornado victims in #Joplin http://goo.gl/kowGb cc: @TheNatlGuard #USArmy,daymonsgirl
200,Look at this web site/page,Information source, @Reuters: Obama vows national response to Missouri tornado  http://reut.rs/kMSwTw,Resolute_aso5f
201,Look at this video or these videos,Information source,Wowza  @spreyn0: New video showing the #tornado ripping thru #Joplin & the aftermath. From 4:35 on is hard to watch. http://t.co/BJEjGlr,johnNBCLA
202,Look at this web site/page,Information source,Read Jess Rollins' story about one family's quest for their son after the tornado: http://cot.ag/kU8kOw,roseannmoring
203,Look at this web site/page,Information source, @ReliefPortraits: Facebook.com/ReliefPortraits #ReliefPortraits #Joplin #tornado,tsmelley
204,Look at this video or these videos,Information source,Videos in the News: Missouri tornado toll hits 132      (AFP) http://ow.ly/1cUMIT,W8theres2more
205,Look at this web site/page,Information source, @TIME: PHOTOS: A tornado rips through Western Massachusetts | http://ti.me/l1wEgJ,peridot2003
206,Look at this web site/page,Information source,Social media helps tornado survivors pick up the pieces http://bit.ly/jNofMX,shaakunsethi
207,Look at this web site/page,Information source," @FreakOutNation: Eric Cantor Holds Tornado Ravaged Joplin, Missouri hostage http://t.co/3O2KjcV  #digg #digguser",tomshade
208,Look at this web site/page,Information source,This is an eyeopener:  Joplin tornado survivor shares his story http://bit.ly/lnKbaK #joplin #tornado,hey_leia
209,Look at this photo or these photos,Information source,Tornado! http://instagr.am/p/Erpzb/,JeffMonschke
210,Look at this web site/page,Information source,"TUCSON BBB: How to Tornado-Proof Your Home[Sun, 24 Ap] http://dlvr.it/VDpcd",TucsonEA
211,Look at this photo or these photos,Information source,"PHOTOS: Before/After: Satellite Imagery Of Joplin, Mo. http://abcn.ws/maKTfm #Joplin",Niketa
212,Tune to this radio station (or: I am listening to this station),Information source," @TWCBreaking: #Tornado warning information for Owensboro, KY http://wxch.nl/l2b6ck",SevereAlertsNow
213,Look at this web site/page,Information source, @cashmachines: http://bitly.com/fvX Mass. towns give thanks tornado toll wasn't worse http://bit.ly/mfx95N http://bit.ly/mlO5or #fb,Twitt_er_Bloke
214,Look at this web site/page,Information source,"TUCSON BBB: How to Tornado-Proof Your Home[Sun, 24 Ap] http://dlvr.it/VFDWJ",TucsonEA
215,Look at this video or these videos,Information source,Unbelievable video of a tornado hitting Massachusetts.  Don't miss it tonight on WJZ News at 11pm.,cbsbaltimore
216,Look at this web site/page,Information source,#FF for amazing bravery to @raeabileah http://is.gd/MfVTKs  and @BillMcKibbon and the people of #joplin!,actingupmama
217,Look at this video or these videos,Information source,"MUST watch vid! 55 @youtube singers #WePrayForYou for Japan/US Tornado victims written by @jricemusic & @brettsmusic - http://t.co/0l42g1I""",whoisshawn
218,Look at this video or these videos,Information source,TornadoÃ¢â‚¬â„¢s fury caught on tape http://www.msnbc.msn.com/id/21134540/vp/43170743#43170743,RussTaylor622
219,Look at this web site/page,Information source, @arwxguy: Radar view of the severe t'storm in Lincoln county. #arwx  http://t.co/Y33bpfO,BentonWx
220,Look at this web site/page,Information source, @BarnesJewish: Update from colleagues in #Joplin with Missouri's Disaster Medical Assistance Team after Sunday's #tornado http://bjhn ...,goMarielle
221,Look at this web site/page,Information source,How Strong is Your Financial Foundation?: The recent tornado outbreak across the country has lots of folks wonde... http://bit.ly/kjykZh,wregzaneta
222,Look at this web site/page,Information source,Tornado lessons could lead to stronger buildings http://goo.gl/fb/z6m2f,koorgle
223,Tune to this radio station (or: I am listening to this station),Information source,Heading to #Joplin with @RicoBush for @KOMUnews. Tune in at 9 and 10 for the latest updates. Live stream at KOMU.com,hillarymullin
224,Look at this photo or these photos,Information source, @TelegraphPics: Gallery: Tornado in Massachusetts http://tgr.ph/l4wf9W,asteris
225,Look at this photo or these photos,Information source,"Wow, incredible.  @jdavidgoodman: Amazing, other-worldly picture from Missouri town after tornado: http://bit.ly/kai3VU #joplin",raffiwriter
226,Look at this web site/page,Information source,Obama pledges to stand by tornado-hit town http://goo.gl/fb/M0bYw #ManilaNews #Manila #worldnews,NewsManila
227,Look at this web site/page,Information source,Birm. Breaking News Tuscaloosa tornado victims remembered in candlelight vigil: Aim of remembrance ce... http://bit.ly/l7IZ6V #ALnews ,iE_Alabama
228,Look at this web site/page,Information source,"....ATTENTION!!! For all who are now out of work due to the tornado, there is to be a meeting tomorrow at 4pm at... http://fb.me/110p5HPZj",RitaStevenson
229,Look at this photo or these photos,Information source, @cbs11news: Another shot of a tornado in Denton tweeted by @adam_ruiz http://yfrog.com/h36wqjggj,GinaZavala
230,Look at this photo or these photos,Information source, @lancelemen: High-res images from #JoplinÃ¢â‚¬â€œ http://bit.ly/jzuuvC. How to helpÃ¢â‚¬â€œ http://bit.ly/jdvqN6. Please help even if just ,AjMeadows
231,Look at this web site/page,Information source,Basketball Hall of Fame escapes damage from Springfield tornado | masslive.com http://t.co/rtIT8ZK,JJRedick19
232,Look at this web site/page,Information source,God Bless!  @USMC: Marine protects family from #Joplin #tornado in home closet http://tinyurl.com/3j4cl4n #Marine,sdigda
233,Watch this TV channel (or: I am watching this channel),Information source," @DanaRoecker: Mash unit set up in #Joplin, Mo. #NBCNews http://t.co/a5iKxqO",NBCNews
234,Watch this TV channel (or: I am watching this channel),Information source,"Pres. @BarackObama will speak at a memorial for those lost in the #tornado in #Joplin, MO. @CNNLive: http://on.cnn.com/cnndcl1 #CNN",MunozCNNiReport
235,Look at this web site/page,Information source," @Metro_TV: Tornado Langka Terjang Massachusetts, 4 Tewas http://t.co/dsJe3y1 via @AddThis",rzltrynto
236,Look at this web site/page,Information source, @StressedFran: New Blog Post: Nurse on duty when tornado hit hospital in Missouri http://ow.ly/1cTmRM,Scooter20
237,Look at this video or these videos,Information source,Raw Video: Aerial Tour of #Joplin #Tornado Damage http://bit.ly/lGpEET #Severe #Storm via #AssociatedPress,Apple_WorldNews
238,None of the above,Information source,From the Nat'l Weather Service @12:15pm: Westfield-Springfield-Monson Tornado was a minimum EF3 in hardest Hit areas. 136-165... - @BarryWBZ,wbzweather
239,Look at this web site/page,Information source,Stunning NOAA video: Satellite view of momentous month of tornado-spawning storms fronts:  http://t.co/1imlyCg @Revkin,gecko39
240,Look at this web site/page,Information source,Massive tornado strikes Massachusetts - World - NZ Herald News http://t.co/lF267ve via @nzherald #news,TinyTravelLady
241,Look at this web site/page,Information source,SPC Tornado Watch 368 Status Reports http://dlvr.it/SzjZv,Chris_Garner1
242,Look at this web site/page,Information source," @BreakingNews: Tornado watch issued for New York City, surrounding counties - NBC NY http://bit.ly/iE1u3J",LadyHavenM
243,Look at this video or these videos,Information source,@ClimateProject @RepowerAmerica my inventions can stop tornado's and clean pollution  http://www.youtube.com/watch?v=oy_8y6mOxcU,EnvioClean
244,None of the above,Information source,@cpsandee  No doubt ! that area is not even in tornado alley either--mother nature was pissed ripped Bruce county a new one that nite,xxAnrichxx
245,Look at this web site/page,Information source,"'Any City Can Be Hit by a Tornado' - When many Americans think of  tornadoes, they think of Kansas and Oklahoma, not... http://ow.ly/1d1adP",Interstate107
246,Look at this video or these videos,Information source,"Rare tornado touched down in Chico, California. News chopper was able to film it..... http://fb.me/121xeFkPL",engine54
247,Look at this video or these videos,Information source,"AP VIDEO: Obama speaks at a memorial service for tornado victims in Joplin, Mo. ""No one is a stranger."" http://apne.ws/mI2Mqm -CJ",AP
248,Look at this photo or these photos,Information source," @nytimes: Panoramic before and after photos depict the power of the Joplin, Mo. tornado http://nyti.ms/mt5ywd",JasonRobertC
249,Tune to this radio station (or: I am listening to this station),Information source," @stormchaser4850: Listen live to Springfield, MA police scanner feed as city continues to respond after tornado http://bit.ly/iHNHLN",FPOnTheDL
250,Look at this web site/page,Information source,Tornado Takes Kansas Man On Wild Ride http://tf.to/sZZe,kansascitypost
251,Look at this web site/page,Information source," @warmowski: Despite the best efforts of Eric Cantor. http://bit.ly/lONvNH  @thedigitalnpo Post Tornado, Library Is open in Joplin   ...",backbeatlives
252,Look at this video or these videos,Information source,"Ridiculous Stormchaser And Mom Flee Fire Tornado Video: Honestly, it's a toss up between which of these I'd like... http://bit.ly/ka5xl1",Baby_Mom
253,None of the above,Information source," @BarackObama: In Joplin, Missouri, today to visit with those who lost so much in last week's devastating tornado.",starnorth7
254,Look at this web site/page,Information source,#Joplin #Missouri needs a weather break http://radar.weather.gov/radar.php?rid=eax&product=N0R&overlay=11101111&loop=no #joplintornado,JMOKC
255,Look at this video or these videos,Information source, @picturejohn: Joplin: 8 Days Later (video) http://t.co/E6v5p4G #tornado #joplin #destruction,Entrecote
256,Look at this photo or these photos,Information source,"SHOCKING IMAGES/Joplin, MO wiped off map by tornado..truly heartbreaking..there are no words/plz PRAY 4  these familieshttp://bit.ly/joDjri",TheScarletDogma
257,Look at this photo or these photos,Information source, @latimes: #Joplin tornado before/after satellite images to compare http://lat.ms/l1wysn @LATimesPhotos,Zaradia
258,None of the above,Information source,Live in 20 minutes at 40 after the hour on Studio B with Shep... updates on the search and rescue operations underway in #Joplin.,caseystegall
259,Look at this photo or these photos,Information source, @scotteisenphoto: Here are some photos from #Springfield #MA #tornado damage. http://bit.ly/jXSHMN @universalhub @AP_Images @AP_Boston,MichConnors
260,Look at this web site/page,Information source, @drfranvogler: MISSOURI:An Animal Lost & Found Facebook Page Established for Joplin http://on.fb.me/iQEs43 #mowx #joplin #tornado #pe ...,goMarielle
261,Look at this photo or these photos,Information source,"That's a pretty good specimen of a water tornado - ""Natural Phenomenon Spotted Off Coast Of New South Wales, Australia"" - http://ow.ly/565Jx",hughdickson
262,Look at this web site/page,Information source,Wednesday Reading: Tornado Facts and Myths  http://tiny.ly/hMxk,alphapersonal
263,Look at this web site/page,Information source, @tylerjfrancke: Some thoughts on #Joplin after volunteering and seeing some of the destruction - http://goo.gl/zlycv,owls_mcgee
264,Look at this web site/page,Information source,What Tips the Balance Toward a Tornado?: Asking scientists about broader patterns that turn stormy weather into ... http://bit.ly/mE9jWG,organiclifezone
265,Look at this photo or these photos,Information source, @nytjim: More side-by-side before & after panoramas from #Joplin #tornado. http://nyti.ms/ltyJWC,Niketa
266,Look at this photo or these photos,Information source,"Like something by Bosch  @nytimes MT @jdavidgoodman: Amazing, other-worldly picture fr Missouri after tornado http://bit.ly/kai3VU #joplin",LydiaOn10
267,Look at this video or these videos,Information source,"I favorited a @YouTube video http://youtu.be/mNVuCXVKkLQ?a Raw Video: Killer Tornado Rakes Joplin, Mo.",Natalieland2009
268,Watch this TV channel (or: I am watching this channel),Information source,@petermeet Tornado in MA is crazy! CNN has some great video of it!,Streetworker213
269,Look at this video or these videos,Information source,This is #terrifying: http://www.5min.com/Video/Raw-Video-Tornado-Strikes-Springfield-Mass-517078347,urhairispretty
270,Look at this video or these videos,Information source,Avoid Injury During Tornado Cleanup  http://youtu.be/IMetd1_MFEQ Please ! #Joplin #Sedalia #Mizzou,charlietriplett
271,Look at this video or these videos,Information source,Wow.  @WTNH: You've got to see this!  AMAZING video of a tornado formation over the CT River in the Springfield area. http://bit.ly/il1U18,ET2U
272,Look at this web site/page,Information source,"Obama vows national response to Missouri tornado: JOPLIN, Missouri (Reuters) - President Barack Obama said Sunda... http://bit.ly/kCu5t7",ChiTribWorld
273,Look at this video or these videos,Information source, @ISF_KidsArmy: Please  this and watch it. http://t.co/MW71sMY the more people who see it can know what to do if there is a tornado. ...,ISFGermany
274,Look at this web site/page,Information source, @NewsOn6: How To Protect Yourself In A Car During A Tornado http://bit.ly/jF0Y6X,chance_esp
275,Tune to this radio station (or: I am listening to this station),Information source, @fema: Practice your orgÃ¢â‚¬â„¢s shelter in place plan & use a weather radio to keep employees informed. #Tornado tips http://go.usa.gov/TEM,poanj
276,None of the above,Information source,#Joplin Tornados strike 4-States; at least 25 dead - updated at 11:35 PM CST,TasadorSoitave
277,Look at this web site/page,Information source,Here's an article by a friend of mine who is editor of a local paper in #Joplin http://t.co/KnzK9aO,camojoe
278,Look at this web site/page,Information source," @TheDalyPlanet: Great story on the TV response to the #joplin disaster.  @THR    TV News Rushes to Tornado-Ravaged Joplin, Mo. http ...",juliet316
